task_key,task_version,metric_key,metric_name,higher_is_better,task_role,models_with_key,models_with_numeric_score,models_missing_or_invalid_score,models_with_unknown_direction,distinct_n_effective_values_json
leaderboard_ifeval,2.0,"inst_level_loose_acc,none",inst_level_loose_acc,true,task_subtask,1856,1856,0,0,"[""100"",""541""]"
leaderboard_ifeval,2.0,"inst_level_strict_acc,none",inst_level_strict_acc,true,task_subtask,1856,1856,0,0,"[""100"",""541""]"
leaderboard_ifeval,2.0,"prompt_level_loose_acc,none",prompt_level_loose_acc,true,task_subtask,1856,1856,0,0,"[""100"",""541""]"
leaderboard_ifeval,2.0,"prompt_level_strict_acc,none",prompt_level_strict_acc,true,task_subtask,1856,1856,0,0,"[""100"",""541""]"
leaderboard_math_algebra_hard,1.0,"exact_match,none",exact_match,true,task_subtask,570,570,0,0,"[""307""]"
leaderboard_math_algebra_hard,2.0,"exact_match,none",exact_match,true,task_subtask,801,801,0,0,"[""307""]"
leaderboard_math_algebra_hard,3.0,"exact_match,none",exact_match,true,task_subtask,485,485,0,0,"[""100"",""307""]"
leaderboard_math_algebra_hard,3.0,"exact_match,none",exact_match,unknown,task_subtask,1,1,0,1,[]
leaderboard_math_counting_and_prob_hard,1.0,"exact_match,none",exact_match,true,task_subtask,570,570,0,0,"[""123""]"
leaderboard_math_counting_and_prob_hard,2.0,"exact_match,none",exact_match,true,task_subtask,801,801,0,0,"[""123""]"
leaderboard_math_counting_and_prob_hard,3.0,"exact_match,none",exact_match,true,task_subtask,485,485,0,0,"[""100"",""123""]"
leaderboard_math_counting_and_prob_hard,3.0,"exact_match,none",exact_match,unknown,task_subtask,1,1,0,1,[]
leaderboard_math_geometry_hard,1.0,"exact_match,none",exact_match,true,task_subtask,570,570,0,0,"[""132""]"
leaderboard_math_geometry_hard,2.0,"exact_match,none",exact_match,true,task_subtask,801,801,0,0,"[""132""]"
leaderboard_math_geometry_hard,3.0,"exact_match,none",exact_match,true,task_subtask,485,485,0,0,"[""100"",""132""]"
leaderboard_math_geometry_hard,3.0,"exact_match,none",exact_match,unknown,task_subtask,1,1,0,1,[]
leaderboard_math_hard,,"exact_match,none",exact_match,true,group_summary,1856,1856,0,0,[]
leaderboard_math_hard,,"exact_match,none",exact_match,unknown,group_summary,1,1,0,1,[]
leaderboard_math_intermediate_algebra_hard,1.0,"exact_match,none",exact_match,true,task_subtask,570,570,0,0,"[""280""]"
leaderboard_math_intermediate_algebra_hard,2.0,"exact_match,none",exact_match,true,task_subtask,801,801,0,0,"[""280""]"
leaderboard_math_intermediate_algebra_hard,3.0,"exact_match,none",exact_match,true,task_subtask,485,485,0,0,"[""100"",""280""]"
leaderboard_math_intermediate_algebra_hard,3.0,"exact_match,none",exact_match,unknown,task_subtask,1,1,0,1,[]
leaderboard_math_num_theory_hard,1.0,"exact_match,none",exact_match,true,task_subtask,570,570,0,0,"[""154""]"
leaderboard_math_num_theory_hard,2.0,"exact_match,none",exact_match,true,task_subtask,801,801,0,0,"[""154""]"
leaderboard_math_num_theory_hard,3.0,"exact_match,none",exact_match,true,task_subtask,485,485,0,0,"[""100"",""154""]"
leaderboard_math_num_theory_hard,3.0,"exact_match,none",exact_match,unknown,task_subtask,1,1,0,1,[]
leaderboard_math_prealgebra_hard,1.0,"exact_match,none",exact_match,true,task_subtask,570,570,0,0,"[""193""]"
leaderboard_math_prealgebra_hard,2.0,"exact_match,none",exact_match,true,task_subtask,801,801,0,0,"[""193""]"
leaderboard_math_prealgebra_hard,3.0,"exact_match,none",exact_match,true,task_subtask,485,485,0,0,"[""100"",""193""]"
leaderboard_math_prealgebra_hard,3.0,"exact_match,none",exact_match,unknown,task_subtask,1,1,0,1,[]
leaderboard_math_precalculus_hard,1.0,"exact_match,none",exact_match,true,task_subtask,570,570,0,0,"[""135""]"
leaderboard_math_precalculus_hard,2.0,"exact_match,none",exact_match,true,task_subtask,801,801,0,0,"[""135""]"
leaderboard_math_precalculus_hard,3.0,"exact_match,none",exact_match,true,task_subtask,485,485,0,0,"[""100"",""135""]"
leaderboard_math_precalculus_hard,3.0,"exact_match,none",exact_match,unknown,task_subtask,1,1,0,1,[]
leaderboard_mmlu_pro,0.1,"acc,none",acc,true,task_subtask,1856,1856,0,0,"[""100"",""12032""]"
leaderboard_musr,,"acc_norm,none",acc_norm,true,group_summary,1854,1854,0,0,[]
leaderboard_musr_murder_mysteries,1.0,"acc_norm,none",acc_norm,true,task_subtask,1856,1856,0,0,"[""100"",""250""]"
leaderboard_musr_object_placements,1.0,"acc_norm,none",acc_norm,true,task_subtask,1856,1856,0,0,"[""100"",""256""]"
leaderboard_musr_team_allocation,1.0,"acc_norm,none",acc_norm,true,task_subtask,1856,1856,0,0,"[""100"",""250""]"
