dataset,model_family,n_records,paper,paper_url_as_labeled,candidate_paper_url_unverified,table_or_figure,N_params_B,D_tokens_B,loss_name,observed_val_loss_range,loss_unit,evaluation_dataset,split,tokenizer,context_length,preprocessing,convergence_status,classification_vs_B1,within_source_trend_current,within_source_trend_candidate,source_label_as_stored,evidence_and_disposition
B4,Cerebras-GPT,7,"UNKNOWN (curated manifest only; Cerebras paper checked as family comparator, not established row source)",UNKNOWN,https://arxiv.org/abs/2304.03208,UNKNOWN (Cerebras Table 1/Table 8 reviewed; B4 points not row-matched),0.11..13 (n=7),2050..2050 (n=7),val_loss (local CSV label only),2..2.95 (n=7),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE (source/point mapping is insufficient),curated manifest only,do not call real Cerebras convergence points or use as external validation without a different row-specific source
B5,GPT-2,1,Kaplan et al. 2020,https://arxiv.org/abs/2001.08361,NONE,UNKNOWN (no exact row-to-table/figure locator),1.5..1.5 (n=1),10..10 (n=1),val_loss (local CSV label only),2.906..2.906 (n=1),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,NOT_COMPARABLE (one point cannot establish a trend),Kaplan et al. 2020,one point cannot establish a within-source trend; need exact row citation
B5,GPT-3,8,Kaplan et al. 2020 (as stored); mapping unresolved,https://arxiv.org/abs/2001.08361,https://arxiv.org/abs/2005.14165,UNKNOWN (no exact row-to-table/figure locator),0.125..175 (n=8),300..300 (n=8),val_loss (local CSV label only),2.011..2.761 (n=8),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,"TREND_ONLY only after row-level provenance, source values and within-family protocol are verified",Kaplan et al. 2020,Brown et al. GPT-3 grid is a candidate based on family/size/token pattern only; exact Loss values were not located. Preserve source label; do not classify trend until point provenance is verified.
B5,Chinchilla,9,Hoffmann et al. 2022,https://arxiv.org/abs/2203.15556,NONE,UNKNOWN (no exact row-to-table/figure locator),0.5..70 (n=9),5..1400 (n=9),val_loss (local CSV label only),1.71..3.015 (n=9),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,"TREND_ONLY only after row-level provenance, source values and within-family protocol are verified",Hoffmann et al. 2022,"Hoffmann Chinchilla analysis uses smoothed training loss as an estimate of test risk (stated as unbiased in the infinite-data regime); B5 row-to-table/figure mapping is UNKNOWN, and local val_loss cannot be assigned to that paper metric. NOT_COMPARABLE vs B1; do not upgrade within-source trend without exact point provenance."
B5,Gopher,7,Hoffmann et al. 2022,https://arxiv.org/abs/2203.15556,https://arxiv.org/abs/2112.11446,UNKNOWN (no exact row-to-table/figure locator),0.2..280 (n=7),300..300 (n=7),val_loss (local CSV label only),2.057..2.819 (n=7),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,"TREND_ONLY only after row-level provenance, source values and within-family protocol are verified",Hoffmann et al. 2022,"Original Gopher paper reports Pile benchmark subset scores per UTF-8 byte in bits-per-byte; B5 row-to-table/figure mapping and evaluation protocol are UNKNOWN, so local val_loss cannot be assigned to that metric. NOT_COMPARABLE vs B1; keep separate from Chinchilla and do not upgrade within-source trend without exact point provenance."
B5,LLaMA,4,Touvron et al. 2023,UNKNOWN,https://arxiv.org/abs/2302.13971,UNKNOWN (no exact row-to-table/figure locator),7..65 (n=4),1000..1400 (n=4),val_loss (local CSV label only),1.685..1.943 (n=4),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,"TREND_ONLY only after row-level provenance, source values and within-family protocol are verified",Touvron et al. 2023,within LLaMA family only after exact row/source mapping
B5,LLaMA-2,3,Touvron et al. 2023,UNKNOWN,https://arxiv.org/abs/2307.09288,UNKNOWN (no exact row-to-table/figure locator),7..70 (n=3),2000..2000 (n=3),val_loss (local CSV label only),1.617..1.849 (n=3),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,"TREND_ONLY only after row-level provenance, source values and within-family protocol are verified",Touvron et al. 2023,keep separate from LLaMA; within-family trend only after exact mapping
B5,PaLM,3,Chowdhery et al. 2022,https://arxiv.org/abs/2204.02311,NONE,UNKNOWN (no exact row-to-table/figure locator),8..540 (n=3),780..780 (n=3),val_loss (local CSV label only),1.473..1.901 (n=3),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,"TREND_ONLY only after row-level provenance, source values and within-family protocol are verified",Chowdhery et al. 2022,within PaLM family only after exact point mapping
B5,OPT,5,Zhang et al. 2022,https://arxiv.org/abs/2205.01068,NONE,UNKNOWN (no exact row-to-table/figure locator),1.3..175 (n=5),180..180 (n=5),val_loss (local CSV label only),2.042..2.723 (n=5),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,"TREND_ONLY only after row-level provenance, source values and within-family protocol are verified",Zhang et al. 2022,within OPT family only after exact point mapping
B5,BLOOM,4,Scao et al. 2022,https://arxiv.org/abs/2211.05100,NONE,UNKNOWN (no exact row-to-table/figure locator),0.56..176 (n=4),366..366 (n=4),val_loss (local CSV label only),1.846..2.628 (n=4),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN,UNKNOWN (exact row mapping),UNKNOWN (evaluation window),UNKNOWN,is_converged=1 in CSV; criterion and checkpoint evidence UNKNOWN,NOT_COMPARABLE,NOT_COMPARABLE,"TREND_ONLY only after row-level provenance, source values and within-family protocol are verified",Scao et al. 2022,within BLOOM family only after exact point mapping
