task,relative_path,rows,columns,sha256,source_of_record,role
01_fixed,预算饱和与有限网格切换/q3_budget_saturation_by_context.csv,5,22,66fb850859ba09c77639ac6d221964f054216d586acb2069aabf5856b19b73e9,Q3/04_结果/预算饱和与有限网格切换/q3_budget_saturation_by_context.csv,source_or_specialist_table
01_fixed,预算饱和与有限网格切换/q3_finite_grid_switch_events.csv,1865,20,9ca72edb5b26b63ee1a2537484953826f84ae31a5472ded9f0198b1195f5a435,Q3/04_结果/预算饱和与有限网格切换/q3_finite_grid_switch_events.csv,source_or_specialist_table
01_fixed,预算饱和与有限网格切换/q3_formal_budget_coverage.csv,15,11,5769c4ca36137f3e2d481e7f346e254ebca488ccc24361e47a9465a83ce0b579,Q3/04_结果/预算饱和与有限网格切换/q3_formal_budget_coverage.csv,source_or_specialist_table
01_fixed,预算饱和与有限网格切换/q3_formal_budget_switches.csv,10,20,fe26fcafd4e6855d3a78614ded2c040cb15bb462d86c5440d18ac43e91b04a8e,Q3/04_结果/预算饱和与有限网格切换/q3_formal_budget_switches.csv,source_or_specialist_table
02_robustness,轨迹留一与函数形式敏感性/q3_function_form_summary.csv,3,17,b710d14523038ab3049f7a0fddf4a70385b4d0eed13cc4286f636d0de6692ae5,Q3/04_结果/轨迹留一与函数形式敏感性/q3_function_form_summary.csv,source_or_specialist_table
02_robustness,轨迹留一与函数形式敏感性/q3_loto_holdout_metrics.csv,24,8,c559d538200aa6af47e58756321b70b4955f905b4549aecd81ef2b29b6eaf412,Q3/04_结果/轨迹留一与函数形式敏感性/q3_loto_holdout_metrics.csv,source_or_specialist_table
02_robustness,轨迹留一与函数形式敏感性/q3_loto_oof_predictions.csv,3528,9,cecc9f9836ab989a64a2d8b8320dfdca0e6c0dac6dd0bf61a6e394f198b7dd1e,Q3/04_结果/轨迹留一与函数形式敏感性/q3_loto_oof_predictions.csv,source_or_specialist_table
02_robustness,轨迹留一与函数形式敏感性/q3_loto_parameters.csv,27,15,936daa29dfa75c85b1c92d99d133f463d23a375fb52b62972eafe4fe53920647,Q3/04_结果/轨迹留一与函数形式敏感性/q3_loto_parameters.csv,source_or_specialist_table
02_robustness,轨迹留一与函数形式敏感性/q3_loto_scenario_selections.csv,360,20,61256cee0f256887828fa68e7d8ac823c38e6b4f8596db00f165d90618c5de50,Q3/04_结果/轨迹留一与函数形式敏感性/q3_loto_scenario_selections.csv,source_or_specialist_table
02_robustness,轨迹留一与函数形式敏感性/q3_loto_scenario_summary.csv,45,19,5bc5fe9b5dd93de04fd4b7f725a05f50e581dd3eded8d3ff2c36602e0cdf15af,Q3/04_结果/轨迹留一与函数形式敏感性/q3_loto_scenario_summary.csv,source_or_specialist_table
02_robustness,Q3_T2_近最优_Pareto_边际收益/q3_marginal_return.csv,10,34,c5a257eae1535186a61a84bbf466fcc1771671c3940663f0f840e7e3fafeb7e8,Q3/04_结果/Q3_T2_近最优_Pareto_边际收益/q3_marginal_return.csv,source_or_specialist_table
02_robustness,Q3_T2_近最优_Pareto_边际收益/q3_near_optimal.csv,17640,23,5e9911c7a274698f7bc7220aa8747cd958e1a7be84cde951168da91f4115126c,Q3/04_结果/Q3_T2_近最优_Pareto_边际收益/q3_near_optimal.csv,source_or_specialist_table
02_robustness,Q3_T2_近最优_Pareto_边际收益/q3_pareto.csv,1865,13,1bcae490c0554e8f5192f20674bd84e7b77213dfdd0ce5bbcc5968166069d579,Q3/04_结果/Q3_T2_近最优_Pareto_边际收益/q3_pareto.csv,source_or_specialist_table
02_robustness,Q3_T3_稳健性与配置切换/q3_bootstrap_summary.csv,15,20,eba32b001ed167c3a612d693440c623de5f0fc7ac6e142acad8fc865750932e2,Q3/04_结果/Q3_T3_稳健性与配置切换/q3_bootstrap_summary.csv,source_or_specialist_table
02_robustness,Q3_T3_稳健性与配置切换/q3_configuration_switch.csv,22,19,8c952b95b8262b444744b34a96d83c6219b587165ab811e9c974969284f8d7ca,Q3/04_结果/Q3_T3_稳健性与配置切换/q3_configuration_switch.csv,source_or_specialist_table
02_robustness,Q3_T3_稳健性与配置切换/q3_cost_structure_switch.csv,22,18,b506f8c0188c54d4104d23cc061de324a9411d640e1f953dc4d62a5c67029d3e,Q3/04_结果/Q3_T3_稳健性与配置切换/q3_cost_structure_switch.csv,source_or_specialist_table
03_conditional,q3_betaQ_threshold.csv,45,25,1ba9981ae14dce2731e93ab641a8511bf6dab62f42988eb8bf455f9fee93888e,Q3/04_结果/q3_betaQ_threshold.csv,source_or_specialist_table
03_conditional,q3_conditional_regime.csv,166,27,5e9118b5cadd406a4921b149fe376f5b5162fad2196f32f44ea36ef8ebd3c2ee,Q3/04_结果/q3_conditional_regime.csv,source_or_specialist_table
03_conditional,Q3_Q0_baseline_sensitivity_beta_thresholds.csv,180,15,772c8dc512290682fc82dbd93356b1742e9701a4df5542cb19edff4a6fc8c656,Q3/04_结果/Q3_Q0_baseline_sensitivity_beta_thresholds.csv,source_or_specialist_table
03_conditional,Q3_Q0_baseline_sensitivity_cost.csv,141,12,5164491af2930e0f1e38ecf7f8437652eb1a986f15fc2147094fb79b647eed5e,Q3/04_结果/Q3_Q0_baseline_sensitivity_cost.csv,source_or_specialist_table
03_conditional,Q_conditional_Q_break_even_summary.csv,45,21,f2c64a42e41f5af24f8a11c246eca81991c40b1d7d4d1424cc4b6ac35e3d8e1c,Q3/04_结果/Q_conditional_Q_break_even_summary.csv,source_or_specialist_table
03_conditional,Q_conditional_Q_optimality_intervals.csv,166,24,b4b8a4a13857224bdd81dacc0a3a1af3a5ba80ae2c41d3b131f19ca804da0130,Q3/04_结果/Q_conditional_Q_optimality_intervals.csv,source_or_specialist_table
q3_master_table.csv,q3_master_table.csv,15,77,36d280445fc55c44c4c2cefe137aabca77d664b618f7313f3cb6ab64e0e91ce3,Q3/04_结果/q3_master_table.csv,master
