model_name_raw,baseline_core6_index_0_100,baseline_rank,best_rank_across_bbh_loo,worst_rank_across_bbh_loo,median_rank_across_bbh_loo,max_abs_rank_shift,task_at_max_abs_rank_shift,top_n_cutoff,top_n_count_across_bbh_loo,bbh_leaf_task_n
JayHyeon/Qwen_0.5-DPO_3e-7-2ep_0alp_0lam,18.097230869184177,703,694,710,703.0,9,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
Nexesenex/Llama_3.2_1b_Odyssea_V1.01,17.963989039298518,709,700,716,708.0,9,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
Corianas/Quokka_2.7b,17.859124820929747,711,703,720,711.0,9,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
JayHyeon/Qwen_0.5-DPO_3e-7-1ep_0alp_0lam,17.53571145838827,719,717,728,719.0,9,leaderboard_bbh_web_of_lies,100,0,24
Amaorynho/BBAIIFEV1,71.44898611323535,224,221,232,224.0,8,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
DreadPoor/ichor_1.1-8B-Model_Stock,69.75605092842225,246,244,254,246.0,8,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
notbdq/Qwen2.5-14B-Instruct-1M-GRPO-Reasoning,69.51344429530612,252,244,255,254.0,8,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
tensopolis/qwen2.5-14b-tensopolis-v1,69.47842732924819,254,246,255,253.0,8,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
Ateron/Glowing-Forest-12B,60.00592250820523,341,337,349,342.5,8,leaderboard_bbh_sports_understanding,100,0,24
zelk12/MT3-Max-Merge_02012025163610-gemma-2-9B,59.93172874446489,344,339,352,345.0,8,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
Nexesenex/Llama_3.1_8b_DeepDive_3_R1_Prev_v1.0,59.93089209027767,345,340,353,344.5,8,leaderboard_bbh_causal_judgement,100,0,24
Daemontatox/Llama_cot,59.79359635226341,351,343,355,350.5,8,leaderboard_bbh_logical_deduction_seven_objects,100,0,24
DRXD1000/Atlas-7B,18.46185584437283,693,685,698,692.0,8,leaderboard_bbh_navigate,100,0,24
oopere/pruned20-llama-3.2-3b,17.457444665238707,722,717,730,721.0,8,leaderboard_bbh_snarks,100,0,24
JayHyeon/Qwen_0.5-IRPO_5e-7-2ep_1alp_0lam,17.310909208880812,727,723,735,727.0,8,leaderboard_bbh_web_of_lies,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-3ep,17.137924883886566,735,729,743,733.0,8,leaderboard_bbh_hyperbaton,100,0,24
Alepach/notHumpback-M1,17.02469625878177,736,732,744,737.0,8,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
YOYO-AI/ZYH-LLM-Qwen2.5-14B,86.58536523036804,50,43,51,50.0,7,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
sequelbox/Llama3.1-70B-PlumChat,84.75120446291142,79,72,82,80.0,7,leaderboard_bbh_hyperbaton,100,24,24
DreadPoor/Noxis-8B-LINEAR,69.10808262038789,257,256,264,257.0,7,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
DreadPoor/Nwah-8B-Model_Stock,69.09357901947917,258,256,265,258.0,7,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
rombodawg/Rombos-Coder-V2.5-Qwen-14b,68.77162721298046,264,257,266,264.0,7,leaderboard_bbh_sports_understanding,100,0,24
FuseAI/FuseChat-Llama-3.1-8B-Instruct,60.28264749196615,336,333,343,336.0,7,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
Daemontatox/AetherDrake-SFT,57.500524631800594,371,369,378,371.0,7,leaderboard_bbh_object_counting,100,0,24
Sorawiz/Gemma-9B-Base,57.21370734793496,378,371,379,377.0,7,leaderboard_bbh_movie_recommendation,100,0,24
zelk12/MT3-Gen6-gemma-2-9B,57.17460167842535,379,372,380,378.5,7,leaderboard_bbh_object_counting,100,0,24
DavidAU/L3-DARKEST-PLANET-16.5B,56.48720610919963,385,382,392,385.5,7,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
mkurman/phi-4-MedIT-11B-exp-1,56.16340054889084,389,386,396,389.0,7,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
Quazim0t0/Phi4.Turn.R1Distill.16bit,55.85266346006522,396,389,397,395.0,7,leaderboard_bbh_disambiguation_qa,100,0,24
wzhouad/gemma-2-9b-it-WPO-HB,49.9480684468197,445,438,447,445.0,7,leaderboard_bbh_navigate,100,0,24
Corianas/Neural-Mistral-7B,41.53418454597016,513,512,520,514.0,7,leaderboard_bbh_sports_understanding,100,0,24
mlx-community/Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1-float32,19.105286539398293,672,668,679,672.5,7,leaderboard_bbh_formal_fallacies,100,0,24
JayHyeon/Qwen_0.5-DPO_3e-6-2ep_0alp_0lam,19.080114703101703,673,668,680,673.0,7,leaderboard_bbh_web_of_lies,100,0,24
bunnycore/Phi-4-Trim-Exp1,19.005200201736145,677,670,684,675.0,7,leaderboard_bbh_navigate,100,0,24
JayHyeon/Qwen_0.5-MDPO_0.5_6e-6-3ep_0alp_0lam,18.228391100370334,699,696,706,699.0,7,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
netcat420/DeepSeek-R1-MFANN-TIES-unretrained-7b,17.51668072197705,720,716,727,720.0,7,leaderboard_bbh_formal_fallacies,100,0,24
JayHyeon/Qwen_0.5-rDPO_3e-6-1ep_0vpo_const_0.1,17.28941210604844,728,722,735,727.5,7,leaderboard_bbh_snarks,100,0,24
JayHyeon/Qwen_0.5-DPO_3e-7-3ep_0alp_0lam,16.982683804252286,740,733,742,738.0,7,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
YOYO-AI/Qwen2.5-14B-YOYO-latest-V2,86.64195387986793,48,42,51,48.0,6,leaderboard_bbh_object_counting,100,24,24
CultriX/Qwen2.5-14B-Wernickev3,85.4396861367933,67,61,68,67.0,6,leaderboard_bbh_hyperbaton,100,24,24
allknowingroger/GemmaStock1-27B,84.73363627044698,80,74,84,80.0,6,leaderboard_bbh_web_of_lies,100,24,24
allknowingroger/Gemma2Slerp1-27B,84.24381984306527,87,85,93,88.0,6,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
CultriX/SeQwence-14B,84.00866867035454,92,86,93,92.0,6,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
ZeroXClem/Qwen2.5-7B-HomerAnvita-NerdMix,77.61866719843485,139,133,143,139.0,6,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
Cran-May/merge_model_20250308_3,77.40081996104239,143,137,145,143.0,6,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
marcuscedricridia/Hush-Qwen2.5-7B-Preview,76.44699497347543,155,152,161,156.0,6,leaderboard_bbh_geometric_shapes,100,0,24
unsloth/phi-4-unsloth-bnb-4bit,75.76918598817583,166,165,172,167.0,6,leaderboard_bbh_hyperbaton,100,0,24
zelk12/MT3-Gen5-gemma-2-9B_v1,75.74138566060559,168,162,172,168.0,6,leaderboard_bbh_object_counting,100,0,24
kayfour/T3Q-Qwen2.5-7B-it-KOR-Safe,75.65772681473194,171,165,172,171.0,6,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
fhai50032/Unaligned-Thinker-PHI-4,74.45235911024832,187,181,188,186.0,6,leaderboard_bbh_geometric_shapes,100,0,24
DreadPoor/Yafune-8B-Model_Stock,72.31456262131705,211,207,217,211.0,6,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
qingy2019/Qwen2.5-Ultimate-14B-Instruct,71.57366099721627,223,217,225,223.0,6,leaderboard_bbh_navigate,100,0,24
YOYO-AI/Qwen2.5-7B-it-restore,71.40199990685393,225,219,228,226.0,6,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
IntervitensInc/internlm2_5-20b-llamafied,71.38251456465615,226,220,228,225.0,6,leaderboard_bbh_web_of_lies,100,0,24
bunnycore/Qwen2.5-7B-Instruct-Fusion,71.12181152401647,229,223,230,229.0,6,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
DreadPoor/Decayed-8B-LINEAR,69.75600227353692,247,243,253,246.0,6,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
CohereForAI/c4ai-command-r7b-12-2024,68.83465874032572,262,256,267,263.0,6,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
OpenScholar/Llama-3.1_OpenScholar-8B,59.92999944433421,346,340,352,345.5,6,leaderboard_bbh_geometric_shapes,100,0,24
Daemontatox/PixelParse_AI,59.88845761022723,348,342,353,346.0,6,leaderboard_bbh_disambiguation_qa,100,0,24
meta-llama/Llama-3.1-8B-Instruct,59.71169623449659,353,347,358,353.0,6,leaderboard_bbh_navigate,100,0,24
grimjim/Llama-Nephilim-Metamorphosis-v2-8B,59.70618540826967,354,348,356,353.0,6,leaderboard_bbh_navigate,100,0,24
Azure99/Blossom-V6-7B,59.30689776842112,357,355,363,358.0,6,leaderboard_bbh_geometric_shapes,100,0,24
sethuiyer/Llamaverse-3.1-8B-Instruct,59.11877968511396,361,355,363,361.0,6,leaderboard_bbh_web_of_lies,100,0,24
DreadPoor/ichor-8B-Model_Stock,59.05989358095096,362,356,363,362.0,6,leaderboard_bbh_geometric_shapes,100,0,24
Ateron/Way_of_MagPicaro,57.53276681059001,370,368,376,371.5,6,leaderboard_bbh_causal_judgement,100,0,24
khoantap/llama-slerp-merge,57.44502511082396,373,369,379,373.0,6,leaderboard_bbh_hyperbaton,100,0,24
win10/Norns-Qwen2.5-7B,56.03800273987687,393,387,395,391.5,6,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
DavidAU/Gemma-The-Writer-J.GutenBerg-10B,55.68772933761101,397,391,399,397.0,6,leaderboard_bbh_object_counting,100,0,24
DavidAU/Gemma-The-Writer-9B,50.63395056165254,437,431,440,437.0,6,leaderboard_bbh_object_counting,100,0,24
DeepMount00/Lexora-Lite-3B_v2,50.32215814663844,439,438,445,439.0,6,leaderboard_bbh_movie_recommendation,100,0,24
TIGER-Lab/Qwen2.5-Math-7B-CFT,49.94501519893587,446,440,447,445.0,6,leaderboard_bbh_hyperbaton,100,0,24
Dans-DiscountModels/Mistral-7b-v0.3-Test-E0.7,45.67276250747883,481,479,487,481.0,6,leaderboard_bbh_hyperbaton,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_3ep_0alp_0lam,18.95954334907293,679,673,681,678.0,6,leaderboard_bbh_formal_fallacies,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-2ep_0alp_0lam,18.796945120589854,680,679,686,681.0,6,leaderboard_bbh_boolean_expressions,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_1ep,18.69982457962912,684,678,689,684.0,6,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
JayHyeon/Qwen_0.5-MDPO_0.5_7e-6-3ep_0alp_0lam,18.49457784166609,690,684,696,691.0,6,leaderboard_bbh_formal_fallacies,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-2ep_0alp_0lam,18.17766899862526,700,697,706,700.0,6,leaderboard_bbh_formal_fallacies,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_1ep_0alp_0lam,18.14571628421508,701,698,707,701.0,6,leaderboard_bbh_web_of_lies,100,0,24
JayHyeon/Qwen_0.5-DPOP_1e-6-3ep_0alp_5lam,18.114366781760893,702,696,708,702.0,6,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_2ep_0alp_0lam,18.06392809449003,705,701,711,705.0,6,leaderboard_bbh_web_of_lies,100,0,24
JayHyeon/Qwen_0.5-DPO_3e-6-3ep_0alp_0lam,17.940213310534308,710,704,714,709.0,6,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
JayHyeon/Qwen_0.5-MDPO_0.3_5e-7-3ep_0alp_0lam,17.812927042305663,715,709,716,714.5,6,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_2ep_0alp_0lam,17.801747255747472,716,710,717,714.0,6,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6-3ep_0alp_0lam,17.345053250627682,725,722,731,725.5,6,leaderboard_bbh_penguins_in_a_table,100,0,24
vonjack/Qwen2.5-Coder-0.5B-Merged,16.896313159258025,741,735,745,741.0,6,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
JayHyeon/Qwen_0.5-MDPO_0.9_5e-7-3ep_0alp_0lam,16.85717894027731,742,736,745,742.0,6,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
CultriX/Qwen2.5-14B-ReasoningMerge,88.50331595111926,22,21,27,22.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
bunnycore/Phi-4-Stock-Ex,87.35184305683855,34,34,39,34.5,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
bunnycore/Phi-4-ReasoningRP,86.84559809212283,43,42,48,43.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
bunnycore/Phi-4-Sce-exp-v0.1,86.77989466194197,46,44,51,45.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
bunnycore/Phi-4-RR-Shoup,86.75183444124411,47,45,52,47.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
Daemontatox/PathFinderAi3.0,86.4587322517384,51,46,52,51.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
bunnycore/Phi-4-Stock-RP,86.43436116083596,52,47,55,52.0,5,leaderboard_bbh_geometric_shapes,100,24,24
Triangle104/Phi-4-AbliteratedRP,85.9979542214433,57,54,62,57.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
allknowingroger/Gemma2Slerp2-27B,85.55014159607634,64,61,69,64.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,24,24
CultriX/Qwen2.5-14B-HyperMarck-dl,84.99422979821962,74,69,76,74.0,5,leaderboard_bbh_movie_recommendation,100,24,24
YOYO-AI/Qwen2.5-14B-YOYO-V4-p2,84.6985395935683,82,77,84,82.0,5,leaderboard_bbh_causal_judgement,100,24,24
CultriX/Qwen2.5-14B-Emerged,84.38698967633393,86,81,88,86.0,5,leaderboard_bbh_hyperbaton,100,24,24
1-800-LLMs/Qwen-2.5-14B-Hindi,80.55231146219442,115,110,117,115.0,5,leaderboard_bbh_sports_understanding,100,0,24
sometimesanotion/Qwen2.5-14B-Vimarckoso-v3-IF-Variant,78.13738294843897,132,128,137,132.5,5,leaderboard_bbh_hyperbaton,100,0,24
DoppelReflEx/MiniusLight-24B-v1b-test,77.2537828399234,145,140,149,145.0,5,leaderboard_bbh_web_of_lies,100,0,24
marcuscedricridia/Hush-Qwen2.5-7B-MST-v1.3,77.16191421733812,146,141,150,148.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
zelk12/MT-Gen2-GI-gemma-2-9B,77.13959497975928,147,142,151,146.0,5,leaderboard_bbh_object_counting,100,0,24
Danielbrdz/Barcenas-14b-phi-4-v2,76.9028477582727,152,147,154,152.5,5,leaderboard_bbh_sports_understanding,100,0,24
zelk12/MT4-Gen3-gemma-2-9B,76.46398325224804,154,153,159,154.0,5,leaderboard_bbh_sports_understanding,100,0,24
NikolaSigmoid/phi-4-14b,76.31958063226149,159,154,161,159.0,5,leaderboard_bbh_geometric_shapes,100,0,24
marcuscedricridia/Hush-Qwen2.5-7B-v1.1,76.19669548119379,161,156,164,161.0,5,leaderboard_bbh_hyperbaton,100,0,24
Orion-zhen/phi-4-abliterated,76.14851576934596,162,157,166,162.0,5,leaderboard_bbh_geometric_shapes,100,0,24
zelk12/MT-Gen3-gemma-2-9B,75.70271851340807,170,165,173,170.0,5,leaderboard_bbh_object_counting,100,0,24
Cran-May/SCE-3-24B,75.24117336215889,176,171,178,176.0,5,leaderboard_bbh_web_of_lies,100,0,24
zelk12/MT5-Gen2-gemma-2-9B,74.45509854017446,186,181,189,185.5,5,leaderboard_bbh_movie_recommendation,100,0,24
Aashraf995/Qwen-Evo-7B,74.30083258644045,188,183,189,188.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
grimjim/Gigantes-v3-gemma2-9b-it,73.82452740336049,192,189,197,192.0,5,leaderboard_bbh_web_of_lies,100,0,24
zelk12/MT5-Gen1-gemma-2-9B,73.80007924332214,193,190,198,193.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
jeffmeloy/Qwen2.5-7B-olm-v1.5,73.50997872120699,198,193,200,198.0,5,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
lkoenig/BBAI_7B_QwenDyanKoenLo,73.26082510631414,200,195,202,200.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
Yuma42/Llama3.1-IgneousIguana-8B,72.76777408231466,206,201,211,205.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
CultriX/Qwenfinity-2.5-14B,72.2183911216039,214,209,216,214.0,5,leaderboard_bbh_disambiguation_qa,100,0,24
lkoenig/BBAI_7B_Qwen2.5koen,72.17524909070119,215,210,217,214.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
DreadPoor/H_the_eighth-8B-LINEAR,72.03584021126952,216,211,221,216.0,5,leaderboard_bbh_navigate,100,0,24
jeffmeloy/Qwen2.5-7B-olm-v1.2,71.19482523973294,227,222,229,227.0,5,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
zelk12/MT3-Gen2-gemma-2-9B,70.63337895594013,235,230,238,236.0,5,leaderboard_bbh_object_counting,100,0,24
grimjim/DeepSauerHuatuoSkywork-R1-o1-Llama-3.1-8B,70.53976210006401,237,232,241,236.5,5,leaderboard_bbh_geometric_shapes,100,0,24
tensopolis/qwen2.5-7b-tensopolis-v1,70.4583774250997,239,234,242,239.0,5,leaderboard_bbh_causal_judgement,100,0,24
Aryanne/SHBA,70.23071466513066,241,236,245,241.0,5,leaderboard_bbh_web_of_lies,100,0,24
neopolita/jessi-v0.2-falcon3-7b-instruct,69.81844332782039,245,242,250,247.0,5,leaderboard_bbh_snarks,100,0,24
zelk12/MT1-Gen5-gemma-2-9B,69.74718892485247,248,243,251,248.0,5,leaderboard_bbh_movie_recommendation,100,0,24
1024m/QWEN-14B-B100,69.5856145477073,251,246,255,251.0,5,leaderboard_bbh_sports_understanding,100,0,24
DreadPoor/Alita99-8B-LINEAR,69.51337024723809,253,248,254,252.0,5,leaderboard_bbh_web_of_lies,100,0,24
DreadPoor/inexpertus-8B-Model_Stock,69.29740626778268,255,253,260,255.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
Nexesenex/Llama_3.1_8b_DodoWild_v2.02,69.14632963121016,256,256,261,257.0,5,leaderboard_bbh_web_of_lies,100,0,24
DreadPoor/inexpertus_1.1-8B-LINEAR,69.02491124740304,260,255,263,260.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
Nexesenex/Llama_3.1_8b_Smarteaz_V1.01,68.99021482976644,261,258,266,261.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
nhyha/N3N_gemma-2-9b-it_20241110_2026,68.81828053959316,263,258,265,263.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
ZeroXClem/Qwen-2.5-Aether-SlerpFusion-7B,68.4890390533519,268,263,270,268.5,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
DreadPoor/Cadence-8B-LINEAR,68.12456344138486,272,267,273,272.0,5,leaderboard_bbh_web_of_lies,100,0,24
FINGU-AI/Phi-4-RRStock,67.21669010878672,281,276,282,281.0,5,leaderboard_bbh_sports_understanding,100,0,24
nbeerbower/mistral-nemo-kartoffel-12B,64.94598876114516,297,292,300,297.0,5,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
nbeerbower/Mistral-Nemo-Prism-12B-v2,64.76690549502378,298,297,303,298.0,5,leaderboard_bbh_causal_judgement,100,0,24
HPAI-BSC/Llama3.1-Aloe-Beta-8B,61.22465961784633,324,323,329,325.0,5,leaderboard_bbh_formal_fallacies,100,0,24
DreadPoor/Winter_Night-8B-Model_Stock,61.20506704125042,325,323,330,325.0,5,leaderboard_bbh_sports_understanding,100,0,24
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v1.0,61.02703028319047,329,324,332,330.0,5,leaderboard_bbh_causal_judgement,100,0,24
Quazim0t0/graphite-14b-sce,61.00400287349893,330,325,331,329.0,5,leaderboard_bbh_sports_understanding,100,0,24
FlofloB/test_continued_pretraining_Phi-3-mini-4k-instruct_Unsloth_merged_16bit,60.40925197985164,334,332,339,335.0,5,leaderboard_bbh_hyperbaton,100,0,24
BlackBeenie/Neos-Gemma-2-9b,59.41216265803471,356,352,361,356.0,5,leaderboard_bbh_web_of_lies,100,0,24
netcat420/qwen2.5-MFANN-7b-SLERPv1.1,57.48474205296451,372,368,377,372.0,5,leaderboard_bbh_tracking_shuffled_objects_seven_objects,100,0,24
zelk12/MT-Gen7-gemma-2-9B,56.1044960325124,390,386,395,391.0,5,leaderboard_bbh_tracking_shuffled_objects_five_objects,100,0,24
jayasuryajsk/Qwen2.5-3B-reasoner,55.87805796351008,395,392,400,394.0,5,leaderboard_bbh_web_of_lies,100,0,24
3rd-Degree-Burn/L-3.1-Science-Writer-8B,50.75651759369834,433,432,438,434.0,5,leaderboard_bbh_hyperbaton,100,0,24
mkxu/llama-3-8b-po1,49.278565260236746,450,447,455,450.5,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
HoangHa/Pensez-Llama3.1-8B,46.44789982622856,472,471,477,472.0,5,leaderboard_bbh_object_counting,100,0,24
sabersaleh/Llama3,46.298714328031146,474,472,479,474.0,5,leaderboard_bbh_tracking_shuffled_objects_three_objects,100,0,24
SkyOrbis/SKY-Ko-Llama3.2-3B-lora-epoch1,46.06479561995409,478,473,480,477.5,5,leaderboard_bbh_causal_judgement,100,0,24
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-34fail-3000total-bf16,45.07694336628398,489,484,491,489.0,5,leaderboard_bbh_web_of_lies,100,0,24
khulaifi95/Llama-3.1-8B-Reason-Blend-888k,43.757703869499096,494,494,499,495.0,5,leaderboard_bbh_hyperbaton,100,0,24
godlikehhd/ifd_new_qwen_2500,41.47112608854397,515,512,520,515.0,5,leaderboard_bbh_web_of_lies,100,0,24
synergetic/FrankenQwen2.5-14B,41.00632508066106,520,515,524,521.0,5,leaderboard_bbh_web_of_lies,100,0,24
asharsha30/LLAMA_Harsha_8_B_ORDP_10k,38.3985990437277,540,539,545,541.0,5,leaderboard_bbh_formal_fallacies,100,0,24
Daemontatox/mini_Pathfinder,38.38792444354864,541,540,546,541.0,5,leaderboard_bbh_navigate,100,0,24
