task_key,task_version,metric_key,metric_name,higher_is_better,task_role,models_with_key,models_with_numeric_score,models_missing_or_invalid_score,models_with_unknown_direction,distinct_n_effective_values_json
leaderboard_bbh_navigate,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_object_counting,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_penguins_in_a_table,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""146""]"
leaderboard_bbh_reasoning_about_colored_objects,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_ruin_names,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_salient_translation_error_detection,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_snarks,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""178""]"
leaderboard_bbh_sports_understanding,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_temporal_sequences,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_tracking_shuffled_objects_five_objects,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_tracking_shuffled_objects_seven_objects,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_tracking_shuffled_objects_three_objects,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_bbh_web_of_lies,0.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_gpqa,,"acc_norm,none",acc_norm,true,group_summary,14,14,0,0,[]
leaderboard_gpqa_diamond,1.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""198""]"
leaderboard_gpqa_extended,1.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""546""]"
leaderboard_gpqa_main,1.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""448""]"
leaderboard_ifeval,2.0,"inst_level_loose_acc,none",inst_level_loose_acc,true,task_subtask,14,14,0,0,"[""541""]"
leaderboard_ifeval,2.0,"inst_level_strict_acc,none",inst_level_strict_acc,true,task_subtask,14,14,0,0,"[""541""]"
leaderboard_ifeval,2.0,"prompt_level_loose_acc,none",prompt_level_loose_acc,true,task_subtask,14,14,0,0,"[""541""]"
leaderboard_ifeval,2.0,"prompt_level_strict_acc,none",prompt_level_strict_acc,true,task_subtask,14,14,0,0,"[""541""]"
leaderboard_math_algebra_hard,1.0,"exact_match,none",exact_match,true,task_subtask,12,12,0,0,"[""307""]"
leaderboard_math_algebra_hard,2.0,"exact_match,none",exact_match,true,task_subtask,1,1,0,0,"[""307""]"
leaderboard_math_algebra_hard,3.0,"exact_match,none",exact_match,true,task_subtask,1,1,0,0,"[""307""]"
leaderboard_math_counting_and_prob_hard,1.0,"exact_match,none",exact_match,true,task_subtask,12,12,0,0,"[""123""]"
leaderboard_math_counting_and_prob_hard,2.0,"exact_match,none",exact_match,true,task_subtask,1,1,0,0,"[""123""]"
leaderboard_math_counting_and_prob_hard,3.0,"exact_match,none",exact_match,true,task_subtask,1,1,0,0,"[""123""]"
leaderboard_math_geometry_hard,1.0,"exact_match,none",exact_match,true,task_subtask,12,12,0,0,"[""132""]"
leaderboard_math_geometry_hard,2.0,"exact_match,none",exact_match,true,task_subtask,1,1,0,0,"[""132""]"
leaderboard_math_geometry_hard,3.0,"exact_match,none",exact_match,true,task_subtask,1,1,0,0,"[""132""]"
leaderboard_math_hard,,"exact_match,none",exact_match,true,group_summary,14,14,0,0,[]
leaderboard_math_intermediate_algebra_hard,1.0,"exact_match,none",exact_match,true,task_subtask,12,12,0,0,"[""280""]"
leaderboard_math_intermediate_algebra_hard,2.0,"exact_match,none",exact_match,true,task_subtask,1,1,0,0,"[""280""]"
leaderboard_math_intermediate_algebra_hard,3.0,"exact_match,none",exact_match,true,task_subtask,1,1,0,0,"[""280""]"
leaderboard_math_num_theory_hard,1.0,"exact_match,none",exact_match,true,task_subtask,12,12,0,0,"[""154""]"
leaderboard_math_num_theory_hard,2.0,"exact_match,none",exact_match,true,task_subtask,1,1,0,0,"[""154""]"
leaderboard_math_num_theory_hard,3.0,"exact_match,none",exact_match,true,task_subtask,1,1,0,0,"[""154""]"
leaderboard_math_prealgebra_hard,1.0,"exact_match,none",exact_match,true,task_subtask,12,12,0,0,"[""193""]"
leaderboard_math_prealgebra_hard,2.0,"exact_match,none",exact_match,true,task_subtask,1,1,0,0,"[""193""]"
leaderboard_math_prealgebra_hard,3.0,"exact_match,none",exact_match,true,task_subtask,1,1,0,0,"[""193""]"
leaderboard_math_precalculus_hard,1.0,"exact_match,none",exact_match,true,task_subtask,12,12,0,0,"[""135""]"
leaderboard_math_precalculus_hard,2.0,"exact_match,none",exact_match,true,task_subtask,1,1,0,0,"[""135""]"
leaderboard_math_precalculus_hard,3.0,"exact_match,none",exact_match,true,task_subtask,1,1,0,0,"[""135""]"
leaderboard_mmlu_pro,0.1,"acc,none",acc,true,task_subtask,14,14,0,0,"[""12032""]"
leaderboard_musr,,"acc_norm,none",acc_norm,true,group_summary,14,14,0,0,[]
leaderboard_musr_murder_mysteries,1.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
leaderboard_musr_object_placements,1.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""256""]"
leaderboard_musr_team_allocation,1.0,"acc_norm,none",acc_norm,true,task_subtask,14,14,0,0,"[""250""]"
