source_row_1based,Source,Year,Model,Average,Average_numeric,duplicate_group_rows,conflicting_duplicate_metrics,kept_for_summary
101,Open LLM Leaderboard,2024,Artples/L-MChat-7b,21.24,21.24,1,False,True
102,Open LLM Leaderboard,2024,Artples/L-MChat-Small,15.23,15.23,1,False,True
105,Open LLM Leaderboard,2024,Aryanne/SuperHeart,25.56,25.56,1,False,True
106,Open LLM Leaderboard,2024,AtAndDev/Qwen2.5-1.5B-continuous-learnt,16.52,16.52,2,True,False
107,Open LLM Leaderboard,2024,AtAndDev/Qwen2.5-1.5B-continuous-learnt,17.48,17.48,2,True,False
111,Open LLM Leaderboard,2024,AuraIndustries/Aura-4B,16.06,16.06,1,False,True
112,Open LLM Leaderboard,2024,AuraIndustries/Aura-8B,27.36,27.36,1,False,True
113,Open LLM Leaderboard,2024,AuraIndustries/Aura-MoE-2x4B,16.80,16.8,1,False,True
114,Open LLM Leaderboard,2024,AuraIndustries/Aura-MoE-2x4B-v2,17.52,17.52,1,False,True
115,Open LLM Leaderboard,2024,Aurel9/testmerge-7b,20.97,20.97,1,False,True
119,Open LLM Leaderboard,2024,Azure99/blossom-v5-32b,27.72,27.72,1,False,True
120,Open LLM Leaderboard,2024,Azure99/blossom-v5-llama3-8b,14.60,14.6,1,False,True
121,Open LLM Leaderboard,2024,Azure99/blossom-v5.1-34b,30.30,30.3,1,False,True
122,Open LLM Leaderboard,2024,Azure99/blossom-v5.1-9b,26.47,26.47,1,False,True
123,Open LLM Leaderboard,2024,BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,22.61,22.61,1,False,True
124,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-3M-0613-Llama3-70B,35.58,35.58,1,False,True
125,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-3M-0613-Mistral-7B,22.29,22.29,1,False,True
126,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-3M-0625-Llama3-70B,36.91,36.91,1,False,True
127,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-3M-0625-Llama3-8B,22.06,22.06,1,False,True
128,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-3M-0625-Mistral-7B,22.84,22.84,1,False,True
129,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,26.20,26.2,1,False,True
130,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-3M-0625-Yi-1.5-9B,28.14,28.14,1,False,True
131,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,23.45,23.45,1,False,True
132,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-7M-0729-mistral-7B,23.22,23.22,1,False,True
133,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,37.48,37.48,1,False,True
134,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,23.45,23.45,1,False,True
135,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-7M-Gen-mistral-7B,23.19,23.19,1,False,True
136,Open LLM Leaderboard,2024,BAAI/OPI-Llama-3.1-8B-Instruct,8.53,8.53,1,False,True
137,Open LLM Leaderboard,2024,BEE-spoke-data/Meta-Llama-3-8Bee,14.66,14.66,1,False,True
138,Open LLM Leaderboard,2024,BEE-spoke-data/smol_llama-101M-GQA,4.02,4.02,1,False,True
139,Open LLM Leaderboard,2024,BEE-spoke-data/smol_llama-220M-GQA,6.58,6.58,1,False,True
140,Open LLM Leaderboard,2024,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,6.63,6.63,1,False,True
141,Open LLM Leaderboard,2024,BEE-spoke-data/smol_llama-220M-openhermes,4.94,4.94,1,False,True
142,Open LLM Leaderboard,2024,BEE-spoke-data/tFINE-900m-e16-d32-flan,4.60,4.6,1,False,True
143,Open LLM Leaderboard,2024,BEE-spoke-data/tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,6.00,6.0,1,False,True
144,Open LLM Leaderboard,2024,BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,5.91,5.91,1,False,True
145,Open LLM Leaderboard,2024,BEE-spoke-data/tFINE-900m-instruct-orpo,3.70,3.7,1,False,True
146,Open LLM Leaderboard,2024,BSC-LT/salamandra-7b,5.70,5.7,1,False,True
147,Open LLM Leaderboard,2024,BSC-LT/salamandra-7b-instruct,10.18,10.18,1,False,True
148,Open LLM Leaderboard,2024,Ba2han/Llama-Phi-3_DoRA,25.47,25.47,1,False,True
150,Open LLM Leaderboard,2024,BenevolenceMessiah/Qwen2.5-72B-2x-Instruct-TIES-v1.0,42.27,42.27,1,False,True
151,Open LLM Leaderboard,2024,BenevolenceMessiah/Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0,15.07,15.07,1,False,True
152,Open LLM Leaderboard,2024,BlackBeenie/Bloslain-8B-v0.2,23.80,23.8,1,False,True
153,Open LLM Leaderboard,2024,BlackBeenie/Llama-3.1-8B-OpenO1-SFT-v0.1,21.40,21.4,1,False,True
154,Open LLM Leaderboard,2024,BlackBeenie/Llama-3.1-8B-pythonic-passthrough-merge,7.40,7.4,1,False,True
155,Open LLM Leaderboard,2024,BlackBeenie/Neos-Gemma-2-9b,25.48,25.48,1,False,True
156,Open LLM Leaderboard,2024,BlackBeenie/Neos-Llama-3.1-8B,19.51,19.51,1,False,True
157,Open LLM Leaderboard,2024,BlackBeenie/Neos-Llama-3.1-base,3.97,3.97,1,False,True
158,Open LLM Leaderboard,2024,BlackBeenie/Neos-Phi-3-14B-v0.1,27.03,27.03,1,False,True
159,Open LLM Leaderboard,2024,BlackBeenie/llama-3-luminous-merged,21.62,21.62,1,False,True
160,Open LLM Leaderboard,2024,BlackBeenie/llama-3.1-8B-Galore-openassistant-guanaco,18.37,18.37,1,False,True
161,Open LLM Leaderboard,2024,Bllossom/llama-3.2-Korean-Bllossom-AICA-5B,19.01,19.01,1,False,True
162,Open LLM Leaderboard,2024,BoltMonkey/DreadMix,28.76,28.76,1,False,True
163,Open LLM Leaderboard,2024,BoltMonkey/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,27.78,27.78,2,True,False
164,Open LLM Leaderboard,2024,BoltMonkey/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,21.35,21.35,2,True,False
165,Open LLM Leaderboard,2024,BoltMonkey/SuperNeuralDreadDevil-8b,27.11,27.11,1,False,True
166,Open LLM Leaderboard,2024,BrainWave-ML/llama3.2-3B-maths-orpo,5.08,5.08,1,False,True
167,Open LLM Leaderboard,2024,BramVanroy/GEITje-7B-ultra,11.02,11.02,1,False,True
168,Open LLM Leaderboard,2024,BramVanroy/fietje-2,9.14,9.14,1,False,True
169,Open LLM Leaderboard,2024,BramVanroy/fietje-2-chat,10.62,10.62,1,False,True
170,Open LLM Leaderboard,2024,BramVanroy/fietje-2-instruct,10.49,10.49,1,False,True
177,Open LLM Leaderboard,2024,CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct,23.51,23.51,1,False,True
178,Open LLM Leaderboard,2024,CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct-2412,20.30,20.3,1,False,True
179,Open LLM Leaderboard,2024,Casual-Autopsy/L3-Umbral-Mind-RP-v2.0-8B,25.90,25.9,1,False,True
180,Open LLM Leaderboard,2024,CausalLM/14B,17.24,17.24,1,False,True
181,Open LLM Leaderboard,2024,CausalLM/34b-beta,23.30,23.3,1,False,True
183,Open LLM Leaderboard,2024,Changgil/K2S3-14b-v0.2,15.28,15.28,1,False,True
184,Open LLM Leaderboard,2024,Changgil/K2S3-v0.1,14.84,14.84,1,False,True
185,Open LLM Leaderboard,2024,ClaudioItaly/Albacus,20.51,20.51,1,False,True
186,Open LLM Leaderboard,2024,ClaudioItaly/Book-Gut12B,23.39,23.39,1,False,True
187,Open LLM Leaderboard,2024,ClaudioItaly/Evolutionstory-7B-v2.2,20.81,20.81,1,False,True
188,Open LLM Leaderboard,2024,ClaudioItaly/intelligence-cod-rag-7b-v3,31.84,31.84,1,False,True
189,Open LLM Leaderboard,2024,CohereForAI/aya-23-35B,24.76,24.76,1,False,True
190,Open LLM Leaderboard,2024,CohereForAI/aya-23-8B,16.01,16.01,1,False,True
191,Open LLM Leaderboard,2024,CohereForAI/aya-expanse-32b,29.72,29.72,1,False,True
192,Open LLM Leaderboard,2024,CohereForAI/aya-expanse-8b,22.41,22.41,1,False,True
193,Open LLM Leaderboard,2024,CohereForAI/c4ai-command-r-plus,30.94,30.94,1,False,True
194,Open LLM Leaderboard,2024,CohereForAI/c4ai-command-r-plus-08-2024,33.65,33.65,1,False,True
195,Open LLM Leaderboard,2024,CohereForAI/c4ai-command-r-v01,25.93,25.93,1,False,True
196,Open LLM Leaderboard,2024,CohereForAI/c4ai-command-r7b-12-2024,31.62,31.62,1,False,True
197,Open LLM Leaderboard,2024,Columbia-NLP/LION-Gemma-2b-dpo-v1.0,11.48,11.48,2,True,False
198,Open LLM Leaderboard,2024,Columbia-NLP/LION-Gemma-2b-dpo-v1.0,11.26,11.26,2,True,False
199,Open LLM Leaderboard,2024,Columbia-NLP/LION-Gemma-2b-odpo-v1.0,11.90,11.9,1,False,True
200,Open LLM Leaderboard,2024,Columbia-NLP/LION-Gemma-2b-sft-v1.0,12.60,12.6,1,False,True
201,Open LLM Leaderboard,2024,Columbia-NLP/LION-LLaMA-3-8b-dpo-v1.0,21.79,21.79,1,False,True
202,Open LLM Leaderboard,2024,Columbia-NLP/LION-LLaMA-3-8b-odpo-v1.0,19.85,19.85,1,False,True
203,Open LLM Leaderboard,2024,Columbia-NLP/LION-LLaMA-3-8b-sft-v1.0,20.75,20.75,1,False,True
204,Open LLM Leaderboard,2024,CombinHorizon/Josiefied-abliteratedV4-Qwen2.5-14B-Inst-BaseMerge-TIES,41.77,41.77,1,False,True
205,Open LLM Leaderboard,2024,CombinHorizon/Rombos-Qwen2.5-7B-Inst-BaseMerge-TIES,35.37,35.37,1,False,True
206,Open LLM Leaderboard,2024,CombinHorizon/YiSM-blossom5.1-34B-SLERP,31.38,31.38,1,False,True
207,Open LLM Leaderboard,2024,CombinHorizon/huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMerge-TIES,45.66,45.66,1,False,True
208,Open LLM Leaderboard,2024,CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,41.47,41.47,1,False,True
209,Open LLM Leaderboard,2024,CombinHorizon/zetasepic-abliteratedV2-Qwen2.5-32B-Inst-BaseMerge-TIES,46.76,46.76,1,False,True
211,Open LLM Leaderboard,2024,ContactDoctor/Bio-Medical-Llama-3-8B,19.92,19.92,1,False,True
212,Open LLM Leaderboard,2024,CoolSpring/Qwen2-0.5B-Abyme,5.00,5.0,1,False,True
213,Open LLM Leaderboard,2024,CoolSpring/Qwen2-0.5B-Abyme-merge2,6.32,6.32,1,False,True
214,Open LLM Leaderboard,2024,CoolSpring/Qwen2-0.5B-Abyme-merge3,6.82,6.82,1,False,True
215,Open LLM Leaderboard,2024,Corianas/Neural-Mistral-7B,18.20,18.2,1,False,True
216,Open LLM Leaderboard,2024,Corianas/Quokka_2.7b,5.00,5.0,1,False,True
217,Open LLM Leaderboard,2024,CortexLM/btlm-7b-base-v0.2,8.92,8.92,1,False,True
220,Open LLM Leaderboard,2024,Cran-May/T.E-8.1,35.70,35.7,1,False,True
226,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Broca,37.92,37.92,1,False,True
228,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Brocav3,39.85,39.85,1,False,True
229,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Brocav6,39.84,39.84,1,False,True
230,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Brocav7,39.62,39.62,1,False,True
231,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Emerged,37.95,37.95,1,False,True
232,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Emergedv3,38.66,38.66,1,False,True
233,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-FinalMerge,32.24,32.24,1,False,True
239,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-MegaMerge-pt2,38.80,38.8,1,False,True
240,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-MergeStock,38.74,38.74,1,False,True
243,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Unity,38.30,38.3,1,False,True
244,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Wernicke,37.94,37.94,1,False,True
245,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Wernicke-SFT,33.55,33.55,1,False,True
246,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Wernicke-SLERP,36.54,36.54,1,False,True
247,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Wernickev3,38.38,38.38,1,False,True
249,Open LLM Leaderboard,2024,CultriX/Qwenfinity-2.5-14B,32.32,32.32,1,False,True
250,Open LLM Leaderboard,2024,CultriX/Qwestion-14B,38.55,38.55,1,False,True
251,Open LLM Leaderboard,2024,CultriX/SeQwence-14B,36.89,36.89,1,False,True
252,Open LLM Leaderboard,2024,CultriX/SeQwence-14B-EvolMerge,38.02,38.02,1,False,True
253,Open LLM Leaderboard,2024,CultriX/SeQwence-14B-EvolMergev1,38.46,38.46,1,False,True
254,Open LLM Leaderboard,2024,CultriX/SeQwence-14B-v5,37.61,37.61,1,False,True
255,Open LLM Leaderboard,2024,CultriX/SeQwence-14Bv1,38.63,38.63,1,False,True
256,Open LLM Leaderboard,2024,CultriX/SeQwence-14Bv2,38.74,38.74,1,False,True
257,Open LLM Leaderboard,2024,CultriX/SeQwence-14Bv3,38.67,38.67,1,False,True
258,Open LLM Leaderboard,2024,DRXD1000/Atlas-7B,8.79,8.79,1,False,True
259,Open LLM Leaderboard,2024,DRXD1000/Phoenix-7B,12.42,12.42,1,False,True
260,Open LLM Leaderboard,2024,DUAL-GPO/zephyr-7b-ipo-0k-15k-i1,15.49,15.49,1,False,True
261,Open LLM Leaderboard,2024,DZgas/GIGABATEMAN-7B,20.47,20.47,1,False,True
262,Open LLM Leaderboard,2024,Daemontatox/AetherDrake-SFT,22.92,22.92,1,False,True
263,Open LLM Leaderboard,2024,Daemontatox/AetherSett,31.42,31.42,1,False,True
264,Open LLM Leaderboard,2024,Daemontatox/AetherTOT,23.18,23.18,2,True,False
265,Open LLM Leaderboard,2024,Daemontatox/AetherTOT,22.87,22.87,2,True,False
277,Open LLM Leaderboard,2024,Daemontatox/NemoR,18.07,18.07,1,False,True
280,Open LLM Leaderboard,2024,Daemontatox/PathfinderAI,38.13,38.13,2,True,False
281,Open LLM Leaderboard,2024,Daemontatox/PathfinderAI,36.55,36.55,2,True,False
283,Open LLM Leaderboard,2024,Daemontatox/PixelParse_AI,22.93,22.93,1,False,True
285,Open LLM Leaderboard,2024,Daemontatox/RA_Reasoner,29.21,29.21,1,False,True
286,Open LLM Leaderboard,2024,Daemontatox/RA_Reasoner2.0,29.04,29.04,1,False,True
287,Open LLM Leaderboard,2024,Daemontatox/ReasonTest,25.86,25.86,1,False,True
289,Open LLM Leaderboard,2024,Daemontatox/SphinX,29.87,29.87,1,False,True
290,Open LLM Leaderboard,2024,Daemontatox/Sphinx2.0,37.69,37.69,1,False,True
291,Open LLM Leaderboard,2024,Daemontatox/TinySphinx,8.17,8.17,1,False,True
292,Open LLM Leaderboard,2024,Daemontatox/TinySphinx2.0,7.58,7.58,1,False,True
297,Open LLM Leaderboard,2024,Dampfinchen/Llama-3.1-8B-Ultra-Instruct,30.16,30.16,1,False,True
299,Open LLM Leaderboard,2024,Danielbrdz/Barcenas-14b-Phi-3-medium-ORPO,31.89,31.89,1,False,True
303,Open LLM Leaderboard,2024,Danielbrdz/Barcenas-Llama3-8b-ORPO,26.52,26.52,1,False,True
307,Open LLM Leaderboard,2024,Dans-DiscountModels/Dans-Instruct-CoreCurriculum-12b-ChatML,13.54,13.54,1,False,True
308,Open LLM Leaderboard,2024,Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML,13.52,13.52,1,False,True
309,Open LLM Leaderboard,2024,Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.0,13.07,13.07,1,False,True
310,Open LLM Leaderboard,2024,Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.1,13.35,13.35,1,False,True
311,Open LLM Leaderboard,2024,Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.2.0,19.08,19.08,1,False,True
312,Open LLM Leaderboard,2024,Dans-DiscountModels/Mistral-7b-v0.3-Test-E0.7,19.17,19.17,1,False,True
313,Open LLM Leaderboard,2024,Dans-DiscountModels/mistral-7b-test-merged,22.07,22.07,1,False,True
314,Open LLM Leaderboard,2024,Darkknight535/OpenCrystal-12B-L3,20.69,20.69,1,False,True
329,Open LLM Leaderboard,2024,DavidAU/L3-Dark-Planet-8B,20.47,20.47,1,False,True
330,Open LLM Leaderboard,2024,DavidAU/L3-Jamet-12.2B-MK.V-Blackroot-Instruct,17.86,17.86,1,False,True
331,Open LLM Leaderboard,2024,DavidAU/L3-Lumimaid-12.2B-v0.1-OAS-Instruct,17.83,17.83,1,False,True
332,Open LLM Leaderboard,2024,DavidAU/L3-SMB-Instruct-12.2B-F32,18.90,18.9,1,False,True
333,Open LLM Leaderboard,2024,DavidAU/L3-Stheno-Maid-Blackroot-Grand-HORROR-16B,17.20,17.2,1,False,True
334,Open LLM Leaderboard,2024,DavidAU/L3-Stheno-v3.2-12.2B-Instruct,18.74,18.74,1,False,True
341,Open LLM Leaderboard,2024,DavieLion/Llama-3.2-1B-SPIN-iter0,3.62,3.62,2,True,False
342,Open LLM Leaderboard,2024,DavieLion/Llama-3.2-1B-SPIN-iter0,3.99,3.99,2,True,False
343,Open LLM Leaderboard,2024,DavieLion/Llama-3.2-1B-SPIN-iter1,3.75,3.75,1,False,True
344,Open LLM Leaderboard,2024,DavieLion/Llama-3.2-1B-SPIN-iter2,3.66,3.66,1,False,True
345,Open LLM Leaderboard,2024,DavieLion/Llama-3.2-1B-SPIN-iter3,3.59,3.59,2,True,False
346,Open LLM Leaderboard,2024,DavieLion/Llama-3.2-1B-SPIN-iter3,3.61,3.61,2,True,False
347,Open LLM Leaderboard,2024,DavieLion/Lllma-3.2-1B,3.93,3.93,1,False,True
349,Open LLM Leaderboard,2024,Deci/DeciLM-7B,15.02,15.02,1,False,True
350,Open LLM Leaderboard,2024,Deci/DeciLM-7B-instruct,17.47,17.47,1,False,True
351,Open LLM Leaderboard,2024,DeepAutoAI/Explore_Llama-3.1-8B-Inst,28.93,28.93,1,False,True
352,Open LLM Leaderboard,2024,DeepAutoAI/Explore_Llama-3.2-1B-Inst,13.90,13.9,1,False,True
353,Open LLM Leaderboard,2024,DeepAutoAI/Explore_Llama-3.2-1B-Inst_v0,13.36,13.36,1,False,True
354,Open LLM Leaderboard,2024,DeepAutoAI/Explore_Llama-3.2-1B-Inst_v1,10.92,10.92,1,False,True
355,Open LLM Leaderboard,2024,DeepAutoAI/Explore_Llama-3.2-1B-Inst_v1.1,14.31,14.31,1,False,True
356,Open LLM Leaderboard,2024,DeepAutoAI/causal_gpt2,6.03,6.03,1,False,True
357,Open LLM Leaderboard,2024,DeepAutoAI/d2nwg_Llama-3.1-8B-Instruct-v0.0,29.34,29.34,1,False,True
358,Open LLM Leaderboard,2024,DeepAutoAI/d2nwg_causal_gpt2,6.31,6.31,1,False,True
359,Open LLM Leaderboard,2024,DeepAutoAI/d2nwg_causal_gpt2_v1,6.42,6.42,1,False,True
360,Open LLM Leaderboard,2024,DeepAutoAI/ldm_soup_Llama-3.1-8B-Inst,29.86,29.86,1,False,True
361,Open LLM Leaderboard,2024,DeepAutoAI/ldm_soup_Llama-3.1-8B-Instruct-v0.0,29.74,29.74,1,False,True
362,Open LLM Leaderboard,2024,DeepAutoAI/ldm_soup_Llama-3.1-8B-Instruct-v0.1,29.74,29.74,1,False,True
363,Open LLM Leaderboard,2024,DeepMount00/Lexora-Lite-3B,24.89,24.89,1,False,True
365,Open LLM Leaderboard,2024,DeepMount00/Lexora-Medium-7B,25.84,25.84,1,False,True
366,Open LLM Leaderboard,2024,DeepMount00/Llama-3-8b-Ita,26.80,26.8,1,False,True
367,Open LLM Leaderboard,2024,DeepMount00/Llama-3.1-8b-ITA,28.23,28.23,1,False,True
368,Open LLM Leaderboard,2024,DeepMount00/Llama-3.1-8b-Ita,26.27,26.27,1,False,True
369,Open LLM Leaderboard,2024,DeepMount00/Llama-3.1-Distilled,29.63,29.63,1,False,True
375,Open LLM Leaderboard,2024,DeepMount00/Qwen2.5-7B-Instruct-MathCoder,4.40,4.4,1,False,True
376,Open LLM Leaderboard,2024,DeepMount00/mergekit-ties-okvgjfz,4.40,4.4,1,False,True
377,Open LLM Leaderboard,2024,Delta-Vector/Baldur-8B,24.19,24.19,1,False,True
378,Open LLM Leaderboard,2024,Delta-Vector/Control-8B,25.06,25.06,1,False,True
379,Open LLM Leaderboard,2024,Delta-Vector/Control-8B-V1.1,24.63,24.63,1,False,True
380,Open LLM Leaderboard,2024,Delta-Vector/Darkens-8B,18.94,18.94,1,False,True
381,Open LLM Leaderboard,2024,Delta-Vector/Henbane-7b-attempt2,23.81,23.81,1,False,True
382,Open LLM Leaderboard,2024,Delta-Vector/Odin-9B,24.98,24.98,1,False,True
383,Open LLM Leaderboard,2024,Delta-Vector/Tor-8B,18.41,18.41,1,False,True
416,Open LLM Leaderboard,2024,DreadPoor/Again-8B-Model_Stock,26.00,26.0,1,False,True
417,Open LLM Leaderboard,2024,DreadPoor/Alita99-8B-LINEAR,29.39,29.39,1,False,True
419,Open LLM Leaderboard,2024,DreadPoor/Aspire-8B-model_stock,28.61,28.61,1,False,True
420,Open LLM Leaderboard,2024,DreadPoor/Aspire_1.3-8B_model-stock,28.39,28.39,1,False,True
428,Open LLM Leaderboard,2024,DreadPoor/Asymmetric_Linearity-8B-Model_Stock,29.35,29.35,1,False,True
429,Open LLM Leaderboard,2024,DreadPoor/Aurora_faustus-8B-LINEAR,29.62,29.62,1,False,True
430,Open LLM Leaderboard,2024,DreadPoor/Aurora_faustus-8B-LORABLATED,29.13,29.13,1,False,True
431,Open LLM Leaderboard,2024,DreadPoor/Aurora_faustus-8B-LORABLATED_ALT,29.01,29.01,1,False,True
433,Open LLM Leaderboard,2024,DreadPoor/BaeZel-8B-LINEAR,30.35,30.35,1,False,True
434,Open LLM Leaderboard,2024,DreadPoor/BaeZel-8B-Model_Stock,30.02,30.02,1,False,True
