dataset,source_domain,indicator_a,indicator_b,pair_n,mean_abs_gap,spearman_rho,a1_macro_rank
a1,arxiv,modernbert_cleanliness,rps_doc_mean_word_length,1419,0.28096223110888485,0.06945490739195492,190
a1,arxiv,modernbert_readability,modernbert_reasoning,1419,0.17996984351447212,-0.14983661054057643,194
a1,arxiv,modernbert_readability,modernbert_professionalism,1419,0.17559277344393667,-0.43736017924994264,133
a1,arxiv,modernbert_readability,dsir_books,1419,0.7792867936002625,0.39924945778524445,21
a1,arxiv,modernbert_readability,dsir_wiki,1419,0.7781027399827763,0.405365756837283,24
a1,arxiv,modernbert_readability,dsir_math,1419,0.7723368654992377,0.3707581955968539,17
a1,arxiv,modernbert_readability,qurater,1419,0.154894413199927,0.25158009060053466,221
a1,arxiv,modernbert_readability,ad_en,1419,0.2275433283124012,-0.3053481298834838,138
a1,arxiv,modernbert_readability,rps_doc_word_count,1419,0.7078588196769442,0.062298555254407195,50
a1,arxiv,modernbert_readability,rps_doc_num_sentences,1419,0.698392298884303,0.0005697306653731221,54
a1,arxiv,modernbert_readability,rps_doc_unigram_entropy,1419,0.15153561382222436,-0.029857596258326277,209
a1,arxiv,modernbert_readability,rps_doc_frac_unique_words,1419,0.7637828887836919,0.11062266327200403,12
a1,arxiv,modernbert_readability,rps_doc_frac_no_alph_words,1419,0.500673640722413,0.5328781390712197,182
a1,arxiv,modernbert_readability,rps_doc_frac_chars_top_2gram,1419,0.13481610515645842,-0.05645458259853855,187
a1,arxiv,modernbert_readability,rps_doc_frac_chars_top_3gram,1419,0.15806051762306977,0.07425869743573812,184
a1,arxiv,modernbert_readability,rps_lines_uppercase_letter_fraction,1419,0.34445661188575855,-0.3627137933502984,115
a1,arxiv,modernbert_readability,rps_lines_ending_with_terminal_punctution_mark,1419,0.4844995463829943,0.31758886469231123,154
a1,arxiv,modernbert_readability,rps_lines_numerical_chars_fraction,1419,0.45827210424135845,-0.03932216527545777,93
a1,arxiv,modernbert_readability,rps_doc_mean_word_length,1419,0.2530960586384815,0.12371217437528315,200
a1,arxiv,modernbert_reasoning,modernbert_professionalism,1419,0.011709688583608026,0.6547712012086191,220
a1,arxiv,modernbert_reasoning,dsir_books,1419,0.9583653544908551,-0.4171141375252513,6
a1,arxiv,modernbert_reasoning,dsir_wiki,1419,0.9572005383501715,-0.42085849835979516,5
a1,arxiv,modernbert_reasoning,dsir_math,1419,0.9514746865567141,-0.39542496207433075,7
a1,arxiv,modernbert_reasoning,qurater,1419,0.043310772368987276,0.3105155803061715,211
a1,arxiv,modernbert_reasoning,ad_en,1419,0.29783426937207264,0.20144708119321897,123
a1,arxiv,modernbert_reasoning,rps_doc_word_count,1419,0.8841246739223643,-0.3781306368620372,41
a1,arxiv,modernbert_reasoning,rps_doc_num_sentences,1419,0.8759783056221573,-0.2616312248756316,39
a1,arxiv,modernbert_reasoning,rps_doc_unigram_entropy,1419,0.041151100065111065,0.230295748200372,222
a1,arxiv,modernbert_reasoning,rps_doc_frac_unique_words,1419,0.9420319124239808,-0.37218733119830605,8
a1,arxiv,modernbert_reasoning,rps_doc_frac_no_alph_words,1419,0.6774775508233407,-0.16183922715150337,77
a1,arxiv,modernbert_reasoning,rps_doc_frac_chars_top_2gram,1419,0.22331387157900529,0.12923189760703951,193
a1,arxiv,modernbert_reasoning,rps_doc_frac_chars_top_3gram,1419,0.3158846093479281,0.06953734886819399,172
a1,arxiv,modernbert_reasoning,rps_lines_uppercase_letter_fraction,1419,0.5033526308670252,0.11058976260357554,47
a1,arxiv,modernbert_reasoning,rps_lines_ending_with_terminal_punctution_mark,1419,0.6612678020726978,-0.04769727704940212,79
a1,arxiv,modernbert_reasoning,rps_lines_numerical_chars_fraction,1419,0.6118733625352801,0.1622268340552468,84
a1,arxiv,modernbert_reasoning,rps_doc_mean_word_length,1419,0.37795277994607057,-0.0150672579590333,150
a1,arxiv,modernbert_professionalism,dsir_books,1419,0.9525672236188242,-0.5266631761973796,15
a1,arxiv,modernbert_professionalism,dsir_wiki,1419,0.9513530780948176,-0.5310211247592669,13
a1,arxiv,modernbert_professionalism,dsir_math,1419,0.9454311228502654,-0.4836678574652101,18
a1,arxiv,modernbert_professionalism,qurater,1419,0.0442096147054525,0.10744685166447193,192
a1,arxiv,modernbert_professionalism,ad_en,1419,0.2918970729899823,0.42990189055586897,173
a1,arxiv,modernbert_professionalism,rps_doc_word_count,1419,0.8792429971700065,-0.16877408884401074,52
a1,arxiv,modernbert_professionalism,rps_doc_num_sentences,1419,0.8698111057267479,-0.06660769753578345,48
a1,arxiv,modernbert_professionalism,rps_doc_unigram_entropy,1419,0.0419109286927711,0.10854391984419681,141
a1,arxiv,modernbert_professionalism,rps_doc_frac_unique_words,1419,0.9368912098948243,-0.18405461824964117,34
a1,arxiv,modernbert_professionalism,rps_doc_frac_no_alph_words,1419,0.6726994216008967,-0.5220615019382044,40
a1,arxiv,modernbert_professionalism,rps_doc_frac_chars_top_2gram,1419,0.21909857459236548,0.14270293239840195,151
a1,arxiv,modernbert_professionalism,rps_doc_frac_chars_top_3gram,1419,0.3122682912371862,-0.03090401671631445,145
a1,arxiv,modernbert_professionalism,rps_lines_uppercase_letter_fraction,1419,0.4988045420309924,0.27594939950269404,49
a1,arxiv,modernbert_professionalism,rps_lines_ending_with_terminal_punctution_mark,1419,0.6566961727245266,-0.23624012639444322,35
a1,arxiv,modernbert_professionalism,rps_lines_numerical_chars_fraction,1419,0.6071119379214979,0.1046366962528502,87
a1,arxiv,modernbert_professionalism,rps_doc_mean_word_length,1419,0.37480535190743275,-0.2285698216307565,90
a1,arxiv,dsir_books,dsir_wiki,1419,0.001254844151621949,0.9993531110779454,231
a1,arxiv,dsir_books,dsir_math,1419,0.0072051544499668165,0.992677797822957,229
a1,arxiv,dsir_books,qurater,1419,0.9197246570400138,0.0077619172782982665,28
a1,arxiv,dsir_books,ad_en,1419,0.6614197104247056,-0.22888372150110178,96
a1,arxiv,dsir_books,rps_doc_word_count,1419,0.07520954408690199,0.7654639647610968,198
a1,arxiv,dsir_books,rps_doc_num_sentences,1419,0.08319961309920271,0.6925537419204307,206
a1,arxiv,dsir_books,rps_doc_unigram_entropy,1419,0.9194732287575949,-0.581235284407485,3
a1,arxiv,dsir_books,rps_doc_frac_unique_words,1419,0.020566457000201998,0.6525542706422685,226
a1,arxiv,dsir_books,rps_doc_frac_no_alph_words,1419,0.28170620801184976,0.6198704310057065,134
a1,arxiv,dsir_books,rps_doc_frac_chars_top_2gram,1419,0.736072967423141,-0.2940178138788953,11
a1,arxiv,dsir_books,rps_doc_frac_chars_top_3gram,1419,0.6434212629528123,-0.15898966119744684,45
a1,arxiv,dsir_books,rps_lines_uppercase_letter_fraction,1419,0.4594531580957011,-0.24832671112828036,130
a1,arxiv,dsir_books,rps_lines_ending_with_terminal_punctution_mark,1419,0.2979540557705605,0.2171000812660267,114
a1,arxiv,dsir_books,rps_lines_numerical_chars_fraction,1419,0.35179805071672765,0.08478293541911854,111
a1,arxiv,dsir_books,rps_doc_mean_word_length,1419,0.5808648470121541,0.23590103926960304,69
a1,arxiv,dsir_wiki,dsir_math,1419,0.005997343669859311,0.9923790391575545,230
a1,arxiv,dsir_wiki,qurater,1419,0.9185238843204836,0.008875984266042752,27
a1,arxiv,dsir_wiki,ad_en,1419,0.6602414963879484,-0.23012132099246077,95
a1,arxiv,dsir_wiki,rps_doc_word_count,1419,0.07402549046941581,0.7621456650491745,199
a1,arxiv,dsir_wiki,rps_doc_num_sentences,1419,0.08199884037967245,0.68696536334934,208
a1,arxiv,dsir_wiki,rps_doc_unigram_entropy,1419,0.9183366337565967,-0.5783043838318301,2
a1,arxiv,dsir_wiki,rps_doc_frac_unique_words,1419,0.020071343637071987,0.6511647557770485,227
a1,arxiv,dsir_wiki,rps_doc_frac_no_alph_words,1419,0.2805288781483508,0.6228525620844576,131
a1,arxiv,dsir_wiki,rps_doc_frac_chars_top_2gram,1419,0.7349669990956351,-0.29631500299989527,10
a1,arxiv,dsir_wiki,rps_doc_frac_chars_top_3gram,1419,0.6423812472972242,-0.15614314697091108,44
a1,arxiv,dsir_wiki,rps_lines_uppercase_letter_fraction,1419,0.4585294871707052,-0.2496869630813172,129
a1,arxiv,dsir_wiki,rps_lines_ending_with_terminal_punctution_mark,1419,0.296833896065802,0.21831558586853209,109
a1,arxiv,dsir_wiki,rps_lines_numerical_chars_fraction,1419,0.3509374113789558,0.08002015706581797,107
a1,arxiv,dsir_wiki,rps_doc_mean_word_length,1419,0.5797273629084198,0.23790092398405918,68
a1,arxiv,dsir_math,qurater,1419,0.9126633256373897,0.007356441937450202,22
a1,arxiv,dsir_math,ad_en,1419,0.6544642256314462,-0.20978295224657856,97
a1,arxiv,dsir_math,rps_doc_word_count,1419,0.06825961598587721,0.7864343888137939,197
a1,arxiv,dsir_math,rps_doc_num_sentences,1419,0.07620524076898262,0.7170088247447566,207
a1,arxiv,dsir_math,rps_doc_unigram_entropy,1419,0.9126381256959571,-0.5775042890495727,1
a1,arxiv,dsir_math,rps_doc_frac_unique_words,1419,0.01775125220787402,0.6808489119369743,228
a1,arxiv,dsir_math,rps_doc_frac_no_alph_words,1419,0.27495863905034995,0.5875555395263868,121
a1,arxiv,dsir_math,rps_doc_frac_chars_top_2gram,1419,0.7294448420494288,-0.2830659381837586,9
a1,arxiv,dsir_math,rps_doc_frac_chars_top_3gram,1419,0.6369110579299144,-0.15456151442123947,43
a1,arxiv,dsir_math,rps_lines_uppercase_letter_fraction,1419,0.45358248007286617,-0.2268666358093255,124
a1,arxiv,dsir_math,rps_lines_ending_with_terminal_punctution_mark,1419,0.2914831168558158,0.19299898095591445,99
a1,arxiv,dsir_math,rps_lines_numerical_chars_fraction,1419,0.34658633857177185,0.08147255347136485,106
a1,arxiv,dsir_math,rps_doc_mean_word_length,1419,0.5740688155909937,0.22969946285284817,65
a1,arxiv,qurater,ad_en,1419,0.2744477375812147,0.012368612479928189,148
a1,arxiv,qurater,rps_doc_word_count,1419,0.8473980660571377,-0.10387156768406705,51
a1,arxiv,qurater,rps_doc_num_sentences,1419,0.8375403385150473,-0.061408938889040414,55
a1,arxiv,qurater,rps_doc_unigram_entropy,1419,0.059515405011771265,0.023793406371457482,191
a1,arxiv,qurater,rps_doc_frac_unique_words,1419,0.904292238247722,-0.13020097394579633,14
a1,arxiv,qurater,rps_doc_frac_no_alph_words,1419,0.6425084018815687,0.12297067551009248,153
a1,arxiv,qurater,rps_doc_frac_chars_top_2gram,1419,0.21160966169420703,-0.004483865279676248,171
a1,arxiv,qurater,rps_doc_frac_chars_top_3gram,1419,0.295445250934848,0.05687484650579457,159
a1,arxiv,qurater,rps_lines_uppercase_letter_fraction,1419,0.47748828127989495,-0.1021039706039187,102
a1,arxiv,qurater,rps_lines_ending_with_terminal_punctution_mark,1419,0.6264778483291567,0.16603226008544011,113
a1,arxiv,qurater,rps_lines_numerical_chars_fraction,1419,0.5820932186960514,0.023730070321283752,100
a1,arxiv,qurater,rps_doc_mean_word_length,1419,0.3541788339310074,0.14645123338920343,176
a1,arxiv,ad_en,rps_doc_word_count,1419,0.5922916177200216,0.012958198849759142,81
a1,arxiv,ad_en,rps_doc_num_sentences,1419,0.5824103215768087,0.056857978341910684,75
a1,arxiv,ad_en,rps_doc_unigram_entropy,1419,0.2691218780975638,-0.10109739158391093,56
a1,arxiv,ad_en,rps_doc_frac_unique_words,1419,0.6461623921968108,-0.05474110542387924,82
a1,arxiv,ad_en,rps_doc_frac_no_alph_words,1419,0.4383534529842726,-0.4018384428451798,73
a1,arxiv,ad_en,rps_doc_frac_chars_top_2gram,1419,0.22330858268646767,-0.05229258791622429,110
a1,arxiv,ad_en,rps_doc_frac_chars_top_3gram,1419,0.2219333927524139,-0.0920351249234323,144
a1,arxiv,ad_en,rps_lines_uppercase_letter_fraction,1419,0.27719346739592593,0.22521932555994473,74
a1,arxiv,ad_en,rps_lines_ending_with_terminal_punctution_mark,1419,0.42653459365485336,-0.2125342037763883,62
a1,arxiv,ad_en,rps_lines_numerical_chars_fraction,1419,0.4179159672258888,-0.0008189953842955205,88
a1,arxiv,ad_en,rps_doc_mean_word_length,1419,0.2788810826793114,-0.030013696303510088,122
a1,arxiv,rps_doc_word_count,rps_doc_num_sentences,1419,0.023516292481193166,0.9012690941083855,225
a1,arxiv,rps_doc_word_count,rps_doc_unigram_entropy,1419,0.8474340501189792,-0.6970269849701461,16
a1,arxiv,rps_doc_word_count,rps_doc_frac_unique_words,1419,0.05979555479965365,0.8258950824942581,203
a1,arxiv,rps_doc_word_count,rps_doc_frac_no_alph_words,1419,0.21825571613915615,0.13228933233023515,117
a1,arxiv,rps_doc_word_count,rps_doc_frac_chars_top_2gram,1419,0.6651147342854358,-0.2200699710378309,36
a1,arxiv,rps_doc_word_count,rps_doc_frac_chars_top_3gram,1419,0.5751727966583706,-0.2861324726541928,37
a1,arxiv,rps_doc_word_count,rps_lines_uppercase_letter_fraction,1419,0.3959111463225549,-0.014159211762410646,166
a1,arxiv,rps_doc_word_count,rps_lines_ending_with_terminal_punctution_mark,1419,0.24284150025075113,-0.022412758237308025,83
a1,arxiv,rps_doc_word_count,rps_lines_numerical_chars_fraction,1419,0.30966274701832014,-0.0005659640965376585,136
a1,arxiv,rps_doc_word_count,rps_doc_mean_word_length,1419,0.5155097516880351,-0.025398026268776127,94
a1,arxiv,rps_doc_num_sentences,rps_doc_unigram_entropy,1419,0.8398021407303311,-0.7221411473566011,30
a1,arxiv,rps_doc_num_sentences,rps_doc_frac_unique_words,1419,0.06928311271928798,0.6802206125873573,205
a1,arxiv,rps_doc_num_sentences,rps_doc_frac_no_alph_words,1419,0.21583355700814794,0.1832489171907354,139
a1,arxiv,rps_doc_num_sentences,rps_doc_frac_chars_top_2gram,1419,0.6573847826973271,-0.2399220085808787,38
a1,arxiv,rps_doc_num_sentences,rps_doc_frac_chars_top_3gram,1419,0.5673363664553872,-0.2908568468347743,42
a1,arxiv,rps_doc_num_sentences,rps_lines_uppercase_letter_fraction,1419,0.3895435421188916,0.030072711833431378,169
a1,arxiv,rps_doc_num_sentences,rps_lines_ending_with_terminal_punctution_mark,1419,0.24268664472984597,-0.043113984816287365,98
a1,arxiv,rps_doc_num_sentences,rps_lines_numerical_chars_fraction,1419,0.29769192593386656,0.20569197408506337,140
a1,arxiv,rps_doc_num_sentences,rps_doc_mean_word_length,1419,0.5091850302863521,0.024564959181366943,112
a1,arxiv,rps_doc_unigram_entropy,rps_doc_frac_unique_words,1419,0.9035137759517947,-0.2605664914868008,4
a1,arxiv,rps_doc_unigram_entropy,rps_doc_frac_no_alph_words,1419,0.6391782126409264,-0.20466605111969322,89
a1,arxiv,rps_doc_unigram_entropy,rps_doc_frac_chars_top_2gram,1419,0.1863057654536577,0.4314495153630071,216
a1,arxiv,rps_doc_unigram_entropy,rps_doc_frac_chars_top_3gram,1419,0.27714369931600724,0.4615971195236055,181
a1,arxiv,rps_doc_unigram_entropy,rps_lines_uppercase_letter_fraction,1419,0.46545469475529083,0.0720873753430775,64
a1,arxiv,rps_doc_unigram_entropy,rps_lines_ending_with_terminal_punctution_mark,1419,0.6228912037259393,-0.0926647449420454,78
a1,arxiv,rps_doc_unigram_entropy,rps_lines_numerical_chars_fraction,1419,0.5777070981031188,-0.20392486420177242,67
a1,arxiv,rps_doc_unigram_entropy,rps_doc_mean_word_length,1419,0.3454899182388575,-0.17211507764849052,147
a1,arxiv,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,1419,0.2681816427008175,0.0886852449391535,92
a1,arxiv,rps_doc_frac_unique_words,rps_doc_frac_chars_top_2gram,1419,0.7206789338038674,-0.06440905095533939,33
a1,arxiv,rps_doc_frac_unique_words,rps_doc_frac_chars_top_3gram,1419,0.6282150790672453,-0.0645524985604215,58
a1,arxiv,rps_doc_frac_unique_words,rps_lines_uppercase_letter_fraction,1419,0.44525270984925336,0.036430322274550064,126
a1,arxiv,rps_doc_frac_unique_words,rps_lines_ending_with_terminal_punctution_mark,1419,0.2856881299261802,-0.1047138960238597,72
a1,arxiv,rps_doc_frac_unique_words,rps_lines_numerical_chars_fraction,1419,0.34465114701610305,-0.14595338553088077,105
a1,arxiv,rps_doc_frac_unique_words,rps_doc_mean_word_length,1419,0.5674411062955105,-0.16230254494657106,53
a1,arxiv,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,1419,0.4613236540258136,-0.19479662790592323,127
a1,arxiv,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_3gram,1419,0.37387066487349524,0.02616894039000973,163
a1,arxiv,rps_doc_frac_no_alph_words,rps_lines_uppercase_letter_fraction,1419,0.27803148691157004,-0.3701405521335021,168
a1,arxiv,rps_doc_frac_no_alph_words,rps_lines_ending_with_terminal_punctution_mark,1419,0.14511252010934617,0.37356873137647856,219
a1,arxiv,rps_doc_frac_no_alph_words,rps_lines_numerical_chars_fraction,1419,0.2241722087228969,0.35442599387568774,179
a1,arxiv,rps_doc_frac_no_alph_words,rps_doc_mean_word_length,1419,0.3314840924818494,0.18475128480907899,201
a1,arxiv,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,1419,0.1339489949566043,0.3773759020942951,223
a1,arxiv,rps_doc_frac_chars_top_2gram,rps_lines_uppercase_letter_fraction,1419,0.3132195672966886,-0.023168142495498905,76
a1,arxiv,rps_doc_frac_chars_top_2gram,rps_lines_ending_with_terminal_punctution_mark,1419,0.4463445193583046,0.03804330190689907,125
a1,arxiv,rps_doc_frac_chars_top_2gram,rps_lines_numerical_chars_fraction,1419,0.4327049258748106,0.008081696591907812,116
a1,arxiv,rps_doc_frac_chars_top_2gram,rps_doc_mean_word_length,1419,0.26354087411552657,-0.22076223439830828,135
a1,arxiv,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,1419,0.23982845765591645,-0.044345633618447414,101
a1,arxiv,rps_doc_frac_chars_top_3gram,rps_lines_ending_with_terminal_punctution_mark,1419,0.35737107810555035,0.059824106539673745,167
a1,arxiv,rps_doc_frac_chars_top_3gram,rps_lines_numerical_chars_fraction,1419,0.371921662771732,-0.013058509842503577,149
a1,arxiv,rps_doc_frac_chars_top_3gram,rps_doc_mean_word_length,1419,0.2193549691783925,-0.02004902326717251,156
a1,arxiv,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,1419,0.3221276788503663,-0.8190850655765611,119
a1,arxiv,rps_lines_uppercase_letter_fraction,rps_lines_numerical_chars_fraction,1419,0.32172260065867536,-0.05900082974432985,137
a1,arxiv,rps_lines_uppercase_letter_fraction,rps_doc_mean_word_length,1419,0.2877371119307115,-0.12344043796254708,128
a1,arxiv,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,1419,0.2601126540305109,0.153935655666177,146
a1,arxiv,rps_lines_ending_with_terminal_punctution_mark,rps_doc_mean_word_length,1419,0.3217728487182071,0.13613003603156534,175
a1,arxiv,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length,1419,0.36338655351104554,0.027549930288710195,120
a1,book,fineweb_edu,fluency_en,171,0.2760980680097069,0.3289293685650515,185
a1,book,fineweb_edu,modernbert_cleanliness,171,0.2354583877926334,0.3616915064679483,195
a1,book,fineweb_edu,modernbert_readability,171,0.2356652901935945,0.3322365421076632,196
a1,book,fineweb_edu,modernbert_reasoning,171,0.29401722964935517,0.20658554731562148,210
a1,book,fineweb_edu,modernbert_professionalism,171,0.2347287113005353,0.47522259821921425,202
a1,book,fineweb_edu,dsir_books,171,0.5626238436170993,0.07763895951796769,25
a1,book,fineweb_edu,dsir_wiki,171,0.5692158109261023,0.19969114342121333,23
a1,book,fineweb_edu,dsir_math,171,0.5748469420438663,0.12973244000453107,26
a1,book,fineweb_edu,qurater,171,0.20494714956635315,0.5036443795929249,218
a1,book,fineweb_edu,ad_en,171,0.2927874741281244,0.2456006667196327,170
a1,book,fineweb_edu,rps_doc_word_count,171,0.5621374210956462,0.006551947584419326,70
a1,book,fineweb_edu,rps_doc_num_sentences,171,0.5578775622287391,0.11852439403420591,66
a1,book,fineweb_edu,rps_doc_unigram_entropy,171,0.41157571535095006,0.06101683944483816,180
a1,book,fineweb_edu,rps_doc_frac_unique_words,171,0.5760432091854681,0.14643953800376336,19
a1,book,fineweb_edu,rps_doc_frac_no_alph_words,171,0.23463902078764853,0.13305493556051554,104
a1,book,fineweb_edu,rps_doc_frac_chars_top_2gram,171,0.3208076681786958,-0.2971104231166151,160
a1,book,fineweb_edu,rps_doc_frac_chars_top_3gram,171,0.2566528933864175,-0.10793433652530782,155
a1,book,fineweb_edu,rps_lines_uppercase_letter_fraction,171,0.5046304229009271,-0.013681377860928977,80
a1,book,fineweb_edu,rps_lines_ending_with_terminal_punctution_mark,171,0.30369384999493865,-0.3834953320373437,71
a1,book,fineweb_edu,rps_lines_numerical_chars_fraction,171,0.34709422919300487,-0.03961408308733531,103
a1,book,fineweb_edu,rps_doc_mean_word_length,171,0.22863316907901896,0.3447068423452613,164
a1,book,fluency_en,modernbert_cleanliness,171,0.2866533286733013,0.3602779177766578,213
a1,book,fluency_en,modernbert_readability,171,0.2931507274459224,0.2388628890968873,215
a1,book,fluency_en,modernbert_reasoning,171,0.3678836559533478,0.11109271125830995,157
a1,book,fluency_en,modernbert_professionalism,171,0.24441131408867356,0.1269277845777234,118
a1,book,fluency_en,dsir_books,171,0.4185911954732656,0.08019097642453372,63
a1,book,fluency_en,dsir_wiki,171,0.42506524153453373,0.06614354726813496,60
a1,book,fluency_en,dsir_math,171,0.4306963726522979,0.009712560284356997,59
