dataset,unit_type,unit_id,model_family,model_repo,N_params_B,record_count,distinct_D_count,D_min_B_tokens,D_max_B_tokens,loss_column,source_role,track_key_status,p_recipe_group_candidate,p_recipe_status,p_D_status,p_loss_join_status,independent_recipe_count_contribution,eligible_as_real_p_variation,audit_locator,record_fingerprint_sha256,limitations
B2,semi_synthetic_track,cerebras_0.59B,Cerebras-GPT,,0.59,147,143,14,2050,val_loss,semi-synthetic Pythia-calibrated trajectory; not a real Cerebras run,run_id groups checkpoints by synthetic model track,unknown_not_counted,not present; source manifest identifies this table as semi-synthetic,not reconstructable from this synthetic loss table,NO: no p columns or verified p-to-Loss key,0 (excluded from real-data gate),NO: semi-synthetic,,,"Structural missing gpu_days, step_time_ms, and grad_norm_avg are preserved; no field is imputed."
B2,semi_synthetic_track,cerebras_1.3B,Cerebras-GPT,,1.3,147,143,14,2050,val_loss,semi-synthetic Pythia-calibrated trajectory; not a real Cerebras run,run_id groups checkpoints by synthetic model track,unknown_not_counted,not present; source manifest identifies this table as semi-synthetic,not reconstructable from this synthetic loss table,NO: no p columns or verified p-to-Loss key,0 (excluded from real-data gate),NO: semi-synthetic,,,"Structural missing gpu_days, step_time_ms, and grad_norm_avg are preserved; no field is imputed."
B2,semi_synthetic_track,cerebras_13.0B,Cerebras-GPT,,13,147,143,14,2050,val_loss,semi-synthetic Pythia-calibrated trajectory; not a real Cerebras run,run_id groups checkpoints by synthetic model track,unknown_not_counted,not present; source manifest identifies this table as semi-synthetic,not reconstructable from this synthetic loss table,NO: no p columns or verified p-to-Loss key,0 (excluded from real-data gate),NO: semi-synthetic,,,"Structural missing gpu_days, step_time_ms, and grad_norm_avg are preserved; no field is imputed."
B2,semi_synthetic_track,cerebras_2.7B,Cerebras-GPT,,2.7,147,143,14,2050,val_loss,semi-synthetic Pythia-calibrated trajectory; not a real Cerebras run,run_id groups checkpoints by synthetic model track,unknown_not_counted,not present; source manifest identifies this table as semi-synthetic,not reconstructable from this synthetic loss table,NO: no p columns or verified p-to-Loss key,0 (excluded from real-data gate),NO: semi-synthetic,,,"Structural missing gpu_days, step_time_ms, and grad_norm_avg are preserved; no field is imputed."
B2,semi_synthetic_track,cerebras_6.7B,Cerebras-GPT,,6.7,147,143,14,2050,val_loss,semi-synthetic Pythia-calibrated trajectory; not a real Cerebras run,run_id groups checkpoints by synthetic model track,unknown_not_counted,not present; source manifest identifies this table as semi-synthetic,not reconstructable from this synthetic loss table,NO: no p columns or verified p-to-Loss key,0 (excluded from real-data gate),NO: semi-synthetic,,,"Structural missing gpu_days, step_time_ms, and grad_norm_avg are preserved; no field is imputed."
B3,interpolated_trajectory,pythia_0.070542B_trajectory,Pythia-derived,,0.070542,500,500,0.134,299.893,val_loss,derived/interpolated Pythia trajectory; not independent real evidence,filename and trajectory file identify derived size path; all rows marked interpolated,inherits_pythia_shared_policy_unquantified,no p columns; derived from Pythia path and not an independent recipe,not reconstructed; interpolation creates no token-source composition observations,NO: no p columns or verified p-to-Loss key,0 (derived data excluded from real-data gate),NO: interpolated,中文题目/F题/real_attachments/B_scaling_laws/training_trajectories/pythia_0.070542B_trajectory.csv,19663f2f14d62af377377962ec8f794148450bfb278fdbeb2452f4641fe6a440,"interpolated flag values=1; source file headers=N_params_B,D_tokens_B,val_loss,step,interpolated"
B3,interpolated_trajectory,pythia_0.162405B_trajectory,Pythia-derived,,0.162405,500,500,0.134,299.893,val_loss,derived/interpolated Pythia trajectory; not independent real evidence,filename and trajectory file identify derived size path; all rows marked interpolated,inherits_pythia_shared_policy_unquantified,no p columns; derived from Pythia path and not an independent recipe,not reconstructed; interpolation creates no token-source composition observations,NO: no p columns or verified p-to-Loss key,0 (derived data excluded from real-data gate),NO: interpolated,中文题目/F题/real_attachments/B_scaling_laws/training_trajectories/pythia_0.162405B_trajectory.csv,8e2b78cde966b0a3e8b6272935c3f3dcccc5a54e94bb7db79ded2fd8fdf5a124,"interpolated flag values=1; source file headers=N_params_B,D_tokens_B,val_loss,step,interpolated"
B3,interpolated_trajectory,pythia_0.409009B_trajectory,Pythia-derived,,0.409009,500,500,0.134,299.893,val_loss,derived/interpolated Pythia trajectory; not independent real evidence,filename and trajectory file identify derived size path; all rows marked interpolated,inherits_pythia_shared_policy_unquantified,no p columns; derived from Pythia path and not an independent recipe,not reconstructed; interpolation creates no token-source composition observations,NO: no p columns or verified p-to-Loss key,0 (derived data excluded from real-data gate),NO: interpolated,中文题目/F题/real_attachments/B_scaling_laws/training_trajectories/pythia_0.409009B_trajectory.csv,8c803195d475d8ff320afd90887ae48cec6463f4d01a2264c6680611ed9db170,"interpolated flag values=1; source file headers=N_params_B,D_tokens_B,val_loss,step,interpolated"
B3,interpolated_trajectory,pythia_1.040867B_trajectory,Pythia-derived,,1.040867,500,500,0.134,299.893,val_loss,derived/interpolated Pythia trajectory; not independent real evidence,filename and trajectory file identify derived size path; all rows marked interpolated,inherits_pythia_shared_policy_unquantified,no p columns; derived from Pythia path and not an independent recipe,not reconstructed; interpolation creates no token-source composition observations,NO: no p columns or verified p-to-Loss key,0 (derived data excluded from real-data gate),NO: interpolated,中文题目/F题/real_attachments/B_scaling_laws/training_trajectories/pythia_1.040867B_trajectory.csv,bb73b2852db183bee3d76c76f55e2bdcc292d7ed0881cb27966525b56afcafc0,"interpolated flag values=1; source file headers=N_params_B,D_tokens_B,val_loss,step,interpolated"
B3,interpolated_trajectory,pythia_1.416184B_trajectory,Pythia-derived,,1.416184,500,500,0.134,299.893,val_loss,derived/interpolated Pythia trajectory; not independent real evidence,filename and trajectory file identify derived size path; all rows marked interpolated,inherits_pythia_shared_policy_unquantified,no p columns; derived from Pythia path and not an independent recipe,not reconstructed; interpolation creates no token-source composition observations,NO: no p columns or verified p-to-Loss key,0 (derived data excluded from real-data gate),NO: interpolated,中文题目/F题/real_attachments/B_scaling_laws/training_trajectories/pythia_1.416184B_trajectory.csv,cd0d718747fb6048cb474066dbf35f64ef852f59cba2886484cbdf14bc68a02f,"interpolated flag values=1; source file headers=N_params_B,D_tokens_B,val_loss,step,interpolated"
B3,interpolated_trajectory,pythia_11.965825B_trajectory,Pythia-derived,,11.965825,500,500,0.134,299.893,val_loss,derived/interpolated Pythia trajectory; not independent real evidence,filename and trajectory file identify derived size path; all rows marked interpolated,inherits_pythia_shared_policy_unquantified,no p columns; derived from Pythia path and not an independent recipe,not reconstructed; interpolation creates no token-source composition observations,NO: no p columns or verified p-to-Loss key,0 (derived data excluded from real-data gate),NO: interpolated,中文题目/F题/real_attachments/B_scaling_laws/training_trajectories/pythia_11.965825B_trajectory.csv,e223b3d48bc4fef3cbc03fd583ff7aef87e474903d829f6c417310cb99fa7b5e,"interpolated flag values=1; source file headers=N_params_B,D_tokens_B,val_loss,step,interpolated"
B3,interpolated_trajectory,pythia_2.782831B_trajectory,Pythia-derived,,2.782831,500,500,0.134,299.893,val_loss,derived/interpolated Pythia trajectory; not independent real evidence,filename and trajectory file identify derived size path; all rows marked interpolated,inherits_pythia_shared_policy_unquantified,no p columns; derived from Pythia path and not an independent recipe,not reconstructed; interpolation creates no token-source composition observations,NO: no p columns or verified p-to-Loss key,0 (derived data excluded from real-data gate),NO: interpolated,中文题目/F题/real_attachments/B_scaling_laws/training_trajectories/pythia_2.782831B_trajectory.csv,552f03249b69234009eb028b3296d6bd1b1cb3a52c0d3a84a669baa0e3179482,"interpolated flag values=1; source file headers=N_params_B,D_tokens_B,val_loss,step,interpolated"
B3,interpolated_trajectory,pythia_6.86104B_trajectory,Pythia-derived,,6.86104,500,500,0.134,299.893,val_loss,derived/interpolated Pythia trajectory; not independent real evidence,filename and trajectory file identify derived size path; all rows marked interpolated,inherits_pythia_shared_policy_unquantified,no p columns; derived from Pythia path and not an independent recipe,not reconstructed; interpolation creates no token-source composition observations,NO: no p columns or verified p-to-Loss key,0 (derived data excluded from real-data gate),NO: interpolated,中文题目/F题/real_attachments/B_scaling_laws/training_trajectories/pythia_6.86104B_trajectory.csv,8814c8414fddc914444c74e6cf8da02e3e156a0d7fb8acea6c5da05e438bf054,"interpolated flag values=1; source file headers=N_params_B,D_tokens_B,val_loss,step,interpolated"
B4,cross_sectional_model_point,B4:row_0002:0a145e483518,Phi,,1.3,1,1,405,405,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=2; locator only, not a join key",0a145e483518e4d59435417be8b1792a73a262bddd4ce1d94039ce3bbe9cf965,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0003:1de9e52de835,LLaMA,,65,1,1,11349,11349,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=3; locator only, not a join key",1de9e52de8357c1d70f6eb68b171239be8961fa85184b035fc29cfdcefc5df58,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0004:5892b8f0c770,LLaMA,,13,1,1,2229,2229,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=4; locator only, not a join key",5892b8f0c7707d22eaad133e56fe9ca5388c1942899c0c239f7bef0fdf453881,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0005:63073afe7e89,LLaMA,,33,1,1,4583,4583,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=5; locator only, not a join key",63073afe7e89e48e10eb8c910cd9b8d9d5d4fcacb417e5074eaf430cd2a956ff,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0006:f206414be2fa,Qwen2,,20,1,1,3000,3000,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=6; locator only, not a join key",f206414be2faaeefb7d6c38c9331a0c61238f2f3b8ff6f04ddf6d7431826a46b,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0007:227ea559c8ee,Qwen2,,72,1,1,33739,33739,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=7; locator only, not a join key",227ea559c8ee0bc10f768367b4181d0a4e6639698bca8771b016e1ea087cbd97,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0008:2a6dd5ca5484,Pythia,,1.4,1,1,129,129,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=8; locator only, not a join key",2a6dd5ca548488b1f291410b4712d048e85d45fd2af3664123a24f703a42bd60,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0009:c376265b6462,Pythia,,12,1,1,300,300,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=9; locator only, not a join key",c376265b6462676220e04c4b86dd03cc581dc718423fb1cbe24f83a366cc45d6,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0010:3690d47a6cba,Pythia,,2.8,1,1,300,300,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=10; locator only, not a join key",3690d47a6cba3deb732e152fce93d72d0b52de7ca701c3c254e79d9214f3471e,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0011:cd4b27ff8dbf,Pythia,,0.16,1,1,13,13,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=11; locator only, not a join key",cd4b27ff8dbf4dce0056814336706afede65624b0b8c769f96d776aa715850b8,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0012:8e07dd0aec69,Phi,,2.7,1,1,1084,1084,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=12; locator only, not a join key",8e07dd0aec69c74f8f7595b7a0eb0fa4306470bda8ada588fc8a96ef3eb8f181,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0013:781e86dacd47,LLaMA,,7,1,1,1229,1229,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=13; locator only, not a join key",781e86dacd47beb9279ea41366cfdc4bb4f31b63a316a5270e89237f9209a761,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0014:1454920483ab,LLaMA,,3.5,1,1,2200,2200,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=14; locator only, not a join key",1454920483abfc8e59f1b90e7ae853f094d327ba6fd4fc01e6b7811ca982004f,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0015:2dfad79fe5fe,Pythia,,0.41,1,1,41,41,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=15; locator only, not a join key",2dfad79fe5fe61cd8609433b8d10b4da2d04bd4abf8582a90b68e03642fa429f,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0016:62ac759e1228,Pythia,,6.9,1,1,300,300,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=16; locator only, not a join key",62ac759e1228c10f93cbfb30ea3988f566a812095c8d6632aa51eb06b01ba8f2,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0017:9821daaf78ea,Qwen2,,0.5,1,1,361,361,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=17; locator only, not a join key",9821daaf78ea86a16b931a403a437fc470defd36bfadc59dab1f75c7ccdb9807,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0018:2ad3f3caba1f,Phi,,14,1,1,4790,4790,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=18; locator only, not a join key",2ad3f3caba1fdf47604c0e87be63e83cd9f1862e5482030ed0039d716ea1c535,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0019:572a27b4c0d1,Phi,,4.2,1,1,350,350,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=19; locator only, not a join key",572a27b4c0d189413d30f7b1d926ea81efbd61470639678aca7d005ed75eed4e,source=; identical-row occurrence=1
B4,cross_sectional_model_point,B4:row_0020:3ddaf0f2107d,Phi,,7,1,1,4448,4448,val_loss,"curated convergence/literature point; cross-sectional, not a training trajectory",family label only; no row-level model/run/checkpoint identifier,unresolved_source_specific_recipe,no source field or p vector in row; provenance must be resolved before assigning a recipe,not applicable to a single endpoint point unless its run-level exposure path is separately sourced,NO: no p columns or verified p-to-Loss key,0 verified p vectors; do not count family/source labels as vectors,POTENTIAL ONLY after row-to-paper/model and taxonomy mapping is audited,"中文题目/F题/real_attachments/B_scaling_laws/scaling_baseline.csv#csv_line=20; locator only, not a join key",3ddaf0f2107d7d57d359702121976a36c0060a7d4d1562ef04bb6fc2a3ee7b20,source=; identical-row occurrence=1
