source_row_1based,Model,Publication date,Training compute (FLOP),Training compute notes,Training dataset size (total),Dataset size notes,Parameters,Parameters notes,Confidence,Numerical format,Training compute estimation method,Open model weights?,Reference,Link,publication_date_parsed,publication_year,date_status,included_as_of_cutoff,training_compute_numeric,training_compute_parse_status,dataset_size_numeric,dataset_size_parse_status,parameter_count_numeric,parameter_count_parse_status
12,GLM-5.1,2026-04-07,,,,,754000000000.0,Based on HF page: https://huggingface.co/zai-org/GLM-5.1,Confident,,,,GLM-5.1: Towards Long-Horizon Tasks,https://z.ai/blog/glm-5.1,2026-04-07,2026.0,after_cutoff,False,,missing,,missing,754000000000.0,finite_scalar
13,Gemma 4 31B IT,2026-04-02,,,,,31000000000.0,,Likely,,,Yes,,,2026-04-02,2026.0,after_cutoff,False,,missing,,missing,31000000000.0,finite_scalar
14,Composer 2,2026-03-19,,,,,1040000000000.0,"Based on Kimi K2.5; 1.04T total, 32B active parameters",Confident,,,No,Composer 2 Technical Report,https://arxiv.org/abs/2603.24477,2026-03-19,2026.0,after_cutoff,False,,missing,,missing,1040000000000.0,finite_scalar
15,GPT-5.4 Mini,2026-03-17,,,,,,,Likely,,,No,Introducing GPT‑5.4 mini and nano,https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,2026-03-17,2026.0,after_cutoff,False,,missing,,missing,,missing
16,GPT-5.4 Nano,2026-03-17,,,,,,,Likely,,,No,Introducing GPT‑5.4 mini and nano,https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,2026-03-17,2026.0,after_cutoff,False,,missing,,missing,,missing
17,Nemotron 3 Super,2026-03-11,,,,,120000000000.0,"""The new Super model is a 120B total, 12B active-parameter""",Likely,NVFP4,,,Introducing Nemotron 3 Super: An Open Hybrid Mamba-Transformer MoE for Agentic Reasoning,https://developer.nvidia.com/blog/introducing-nemotron-3-super-an-open-hybrid-mamba-transformer-moe-for-agentic-reasoning/,2026-03-11,2026.0,after_cutoff,False,,missing,,missing,120000000000.0,finite_scalar
18,GPT-5.4,2026-03-05,,,,,,,Likely,,,No,Introducing GPT‑5.4,https://openai.com/index/introducing-gpt-5-4/,2026-03-05,2026.0,after_cutoff,False,,missing,,missing,,missing
19,GPT-5.4 Pro,2026-03-05,,,,,,,Likely,,,No,Introducing GPT‑5.4,https://openai.com/index/introducing-gpt-5-4/,2026-03-05,2026.0,after_cutoff,False,,missing,,missing,,missing
20,Gemini 3.1 Flash-Lite,2026-03-03,,,,,,,Likely,,,No,Gemini 3.1 Flash-Lite: Built for intelligence at scale,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-flash-lite/,2026-03-03,2026.0,after_cutoff,False,,missing,,missing,,missing
21,Gemini 3.0 Flash-lite,2026-03-03,,,,,,,Likely,,,No,Gemini 3.1 Flash-Lite: Built for intelligence at scale,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-flash-lite/,2026-03-03,2026.0,after_cutoff,False,,missing,,missing,,missing
22,SWE 1.6,2026-03-01,,"2000 GB200 chips is an estimate based on their disclosure of ""thousands"". Actual number is not disclosed.

""Since training SWE 1.5, we have refined our RL recipe and scaled our infrastructure to unlock two orders of magnitude more compute. Our next model SWE-1.6 is post-trained on the same pre-trained model as SWE-1.5 and runs equally as fast at 950 tok/s.""
...
""SWE-1.6 was trained on thousands of GB200 NVL72 chips, requiring attention to stable networking...""

SWE-1.6 is based on a base model from another lab, though Cognition does not specify which one. It is post-trained via reinforcement learning, as described in the blog post.",,,,"From SWE 1.5 blog post:

""It is a frontier-size model with hundreds of billions of parameters.""",Likely,,,No,An Early Preview of SWE-1.6 and Research Update,https://cognition.ai/blog/swe-1-6-preview,2026-03-01,2026.0,after_cutoff,False,,missing,,missing,,missing
23,Qwen 3.5 Flash (hosted 35B-A3B),2026-02-25,,,,,,,Likely,,,,,,2026-02-25,2026.0,after_cutoff,False,,missing,,missing,,missing
24,Qwen3.5-122B-A10B,2026-02-24,,,,,122000000000.0,,Likely,,,Yes,Qwen3.5: Towards Native Multimodal Agents,https://github.com/QwenLM/Qwen3.5?tab=readme-ov-file ,2026-02-24,2026.0,after_cutoff,False,,missing,,missing,122000000000.0,finite_scalar
25,Qwen3.5-27B,2026-02-24,,,,,27000000000.0,,Likely,,,Yes,Qwen3.5: Towards Native Multimodal Agents,https://github.com/QwenLM/Qwen3.5?tab=readme-ov-file ,2026-02-24,2026.0,after_cutoff,False,,missing,,missing,27000000000.0,finite_scalar
26,Qwen3.5-9B,2026-02-24,,,,,9000000000.0,,Likely,,,Yes,Qwen3.5: Towards Native Multimodal Agents,https://github.com/QwenLM/Qwen3.5?tab=readme-ov-file ,2026-02-24,2026.0,after_cutoff,False,,missing,,missing,9000000000.0,finite_scalar
27,Qwen3.5-4B,2026-02-24,,,,,4000000000.0,,Likely,,,Yes,Qwen3.5: Towards Native Multimodal Agents,https://github.com/QwenLM/Qwen3.5?tab=readme-ov-file ,2026-02-24,2026.0,after_cutoff,False,,missing,,missing,4000000000.0,finite_scalar
28,Qwen3.5-2B,2026-02-24,,,,,2000000000.0,,Likely,,,Yes,Qwen3.5: Towards Native Multimodal Agents,https://github.com/QwenLM/Qwen3.5?tab=readme-ov-file ,2026-02-24,2026.0,after_cutoff,False,,missing,,missing,2000000000.0,finite_scalar
29,Qwen3.5-0.8B,2026-02-24,,,,,800000000.0,,Likely,,,Yes,Qwen3.5: Towards Native Multimodal Agents,https://github.com/QwenLM/Qwen3.5?tab=readme-ov-file ,2026-02-24,2026.0,after_cutoff,False,,missing,,missing,800000000.0,finite_scalar
30,Gemini 3.1 Pro,2026-02-19,,,,,,,Likely,,,No,Gemini 3.1 Pro: A smarter model for your most complex tasks,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-pro/,2026-02-19,2026.0,after_cutoff,False,,missing,,missing,,missing
31,Gemini 3.1 Pro,2026-02-19,,,,,,,Likely,,,No,Gemini 3.1 Pro: A smarter model for your most complex tasks,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-pro/,2026-02-19,2026.0,after_cutoff,False,,missing,,missing,,missing
32,Arcee Trinity Large,2026-02-19,1.326e+24,13e9 active parameters * 17e12 tokens * 6 = 1.326e24 FLOPs estimated,,,398000000000.0,"""We present the technical report for Arcee Trinity Large, a sparse Mixture-of-Experts model with 400B total parameters and 13B activated per token""",Likely,,,Yes,Arcee Trinity Large Technical Report,https://arxiv.org/abs/2602.17004,2026-02-19,2026.0,after_cutoff,False,1.326e+24,finite_scalar,,missing,398000000000.0,finite_scalar
33,Claude Sonnet 4.6,2026-02-17,,,,,,,Likely,,,No,Introducing Claude Sonnet 4.6,https://www.anthropic.com/news/claude-sonnet-4-6,2026-02-17,2026.0,after_cutoff,False,,missing,,missing,,missing
34,GLM-5,2026-02-17,6.84e+24,6 * 40B parameters * 28.5e12 tokens = 6.84e24 FLOP estimated,,,744000000000.0,"""GLM-5 scales to 256 experts and reduces its layer count to 80 to minimize expert parallelism communication overhead. This results in a 744B parameter model""",Likely,,,Yes,GLM-5: from Vibe Coding to Agentic Engineering,https://arxiv.org/pdf/2602.15763,2026-02-17,2026.0,after_cutoff,False,6.84e+24,finite_scalar,,missing,744000000000.0,finite_scalar
35,Grok 4.20,2026-02-17,,,,,500000000000.0,"""This is just our V8 small foundation model, so 500B params"" from Elon Musk on X (https://x.com/elonmusk/status/2023840935285760142?s=20)

Likely sparse",Likely,,,No,,https://docs.x.ai/developers/models,2026-02-17,2026.0,after_cutoff,False,,missing,,missing,500000000000.0,finite_scalar
36,DreamZero,2026-02-17,,,,,14000000000.0,"""In this paper, we present DreamZero, a 14B robot foundation model""",Likely,,,Yes,World Action Models are Zero-shot Policies,https://arxiv.org/abs/2602.15922,2026-02-17,2026.0,after_cutoff,False,,missing,,missing,14000000000.0,finite_scalar
37,Qwen 3.5 Plus (hosted 397B-A17B),2026-02-16,,,,,,,Likely,,,,,,2026-02-16,2026.0,after_cutoff,False,,missing,,missing,,missing
38,Qwen3.5 397B-A17B,2026-02-13,,,,,397000000000.0,"""it comprises 397 billion total parameters""",Likely,,,Yes,Qwen3.5: Towards Native Multimodal Agents,https://qwen.ai/blog?id=qwen3.5,2026-02-13,2026.0,after_cutoff,False,,missing,,missing,397000000000.0,finite_scalar
39,MiniMax-M2.5,2026-02-12,,,,,229000000000.0,"HF lists 229B params
10B active parameters",Likely,,,Yes,MiniMax M2.5: Built for Real-World Productivity.,https://www.minimax.io/news/minimax-m25,2026-02-12,2026.0,after_cutoff,False,,missing,,missing,229000000000.0,finite_scalar
40,Seedance 2.0,2026-02-12,,,,,,,Likely,,,No,Seedance 2.0,https://seed.bytedance.com/en/seedance2_0,2026-02-12,2026.0,after_cutoff,False,,missing,,missing,,missing
41,GLM-5,2026-02-11,,,,,,,Likely,,,Yes,GLM-5: From Vibe Coding to Agentic Engineering,https://z.ai/blog/glm-5,2026-02-11,2026.0,after_cutoff,False,,missing,,missing,,missing
42,Composer 1.5,2026-02-09,,,,,,,Likely,,,No,Introducing Composer 1.5,https://cursor.com/blog/composer-1-5,2026-02-09,2026.0,after_cutoff,False,,missing,,missing,,missing
43,Claude Opus 4.6,2026-02-05,,,,,,,Likely,,,No,Introducing Claude Opus 4.6,https://www.anthropic.com/news/claude-opus-4-6,2026-02-05,2026.0,after_cutoff,False,,missing,,missing,,missing
44,GPT-5.3 Codex,2026-02-05,,,,,,,Likely,,,No,Introducing GPT-5.3 Codex,https://openai.com/index/introducing-gpt-5-3-codex/,2026-02-05,2026.0,after_cutoff,False,,missing,,missing,,missing
45,Step 3.5 Flash,2026-02-02,,,,,,,Likely,,,Yes,Step 3.5 Flash,https://static.stepfun.com/blog/step-3.5-flash/,2026-02-02,2026.0,after_cutoff,False,,missing,,missing,,missing
46,Kimi K2.5,2026-02-02,5.8e+24,"Per section 3.2, ""The joint pre-training stage continues from a near-end Kimi K2 checkpoint over additional 15T vision-text tokens at 4K sequence length""

Kimi K2 was pretrained on 15T tokens. A near-end checkpoint of K2 was trained into K2.5 over another 15T tokens (or 15.2 to 15.5T tokens). This makes for a total of ~30T.

There are an additional 1T tokens in ""Stage 1"" used to train the ViT encoder, which is likely much smaller than the full LLM, so we omit those tokens to calculate training compute.

30e12 tokens * 32B parameters * 6 = 5.76e24 FLOP

Per Kimi talk (timestamp 26:00), the 15 trillion tokens of K2.5 were additive, for 30T training tokens overall: https://x.com/Kimi_Moonshot/status/2035011542115393973?s=20",,,1040000000000.0,"""The model comprises 1.04 trillion total parameters""",Likely,,,Yes,Kimi K2.5: Visual Agentic Intelligence,https://arxiv.org/abs/2602.02276,2026-02-02,2026.0,after_cutoff,False,5.8e+24,finite_scalar,,missing,1040000000000.0,finite_scalar
47,Qwen3-Coder-Next,2026-02-02,,,,,80000000000.0,"Finetune of Qwen3-Next-80B-A3B, which has 80 billion parameters",Likely,,,Yes,Qwen3-Coder-Next: Pushing Small Hybrid Models on Agentic Coding,https://qwen.ai/blog?id=qwen3-coder-next,2026-02-02,2026.0,after_cutoff,False,,missing,,missing,80000000000.0,finite_scalar
48,Helix 02,2026-01-27,,,,,,"They list a parameter count of 10 million for ""System 0"", the portion of the model responsible for learning human-like motion. ",Likely,,,No,Introducing Helix 02: Full-Body Autonomy,https://www.figure.ai/news/helix-02,2026-01-27,2026.0,after_cutoff,False,,missing,,missing,,missing
49,Qwen3-Max-Thinking,2026-01-25,,Unknown,,,,Unknown,Likely,,,No,Pushing Qwen3-Max-Thinking Beyond its Limits,https://qwen.ai/blog?id=qwen3-max-thinking,2026-01-25,2026.0,after_cutoff,False,,missing,,missing,,missing
50,"Solar Open 100B
",2025-12-31,,,19700000000000,,102000000000.0,"102B, of which 12B active
",Confident,,,No,Upstage's flagship 102B-parameter large language model,https://huggingface.co/upstage/Solar-Open-100B,2025-12-31,2025.0,after_cutoff,False,,missing,19700000000000.0,finite_scalar,102000000000.0,finite_scalar
51,K-EXAONE,2025-12-31,1.52e+24,,11000000000000,11T tokens,236000000000.0,236B,Confident,,,No,K-EXAONE Technical Report,https://huggingface.co/LGAI-EXAONE,2025-12-31,2025.0,after_cutoff,False,1.52e+24,finite_scalar,11000000000000.0,finite_scalar,236000000000.0,finite_scalar
52,"VAETKI
",2025-12-30,,A combination of open-source datasets (primarily Nemotron-Pre-Training-Datasets) and custom web-crawled data pre-processed from various public sources.,,,100000000000.0,"Total parameters: 100B (Sparse), Active parameters: 10B per token. It uses a Mixture-of-Experts architecture with 1 shared expert and 128 total experts(top-8 routing)",Confident,BF16,,Yes,,https://huggingface.co/NC-AI-consortium-VAETKI/VAETKI,2025-12-30,2025.0,after_cutoff,False,,missing,,missing,100000000000.0,finite_scalar
53,A.X K1,2025-12-30,,,,,519000000000.0,"MoE Architecture, Total parameters 519B, Active parameters 33B",Confident,BF16,,,A.X K1,https://huggingface.co/skt,2025-12-30,2025.0,after_cutoff,False,,missing,,missing,519000000000.0,finite_scalar
54,HyperCLOVA X SEED 32B Think,2025-12-29,,,,,32000000000.0,32B,Confident,,,,,https://huggingface.co/naver-hyperclovax/HyperCLOVAX-SEED-Think-32B,2025-12-29,2025.0,after_cutoff,False,,missing,,missing,32000000000.0,finite_scalar
55,MiniMax-M2.1,2025-12-23,,,,,229000000000.0,"HF lists 229B params
10B active parameters",Confident,,,Yes,Meet MiniMax-M2.1,https://huggingface.co/MiniMaxAI/MiniMax-M2.1,2025-12-23,2025.0,after_cutoff,False,,missing,,missing,229000000000.0,finite_scalar
56,GLM-4.7,2025-12-22,4.42e+24,"Training tokens not disclosed.

Presuming this is a post-training update from GLM-4.5 (23T tokens) with minor additional compute, training compute is at least:

6 FLOP/parameter/token * 32B active parameters * 23T tokens = 4.42e24 FLOP",,,358000000000.0,"mixture of experts (MoE) with 358B total, 32B active",Likely,,,Yes,,https://z.ai/blog/glm-4.7,2025-12-22,2025.0,after_cutoff,False,4.42e+24,finite_scalar,,missing,358000000000.0,finite_scalar
57,GLM 4.7 Flash,2025-12-22,,,,,30000000000.0,"""GLM-4.7-Flash is a 30B-A3B MoE model.""",Likely,,,Yes,GLM-4.7: Advancing the Coding Capability,https://z.ai/blog/glm-4.7,2025-12-22,2025.0,after_cutoff,False,,missing,,missing,30000000000.0,finite_scalar
58,GPT-5.2 Codex,2025-12-18,,,,,,,Likely,,,No,Introducing GPT-5.2 Codex,https://openai.com/index/introducing-gpt-5-2-codex/,2025-12-18,2025.0,after_cutoff,False,,missing,,missing,,missing
59,Gemini 3 Flash,2025-12-17,,,,,,,Unknown,,,No,,,2025-12-17,2025.0,after_cutoff,False,,missing,,missing,,missing
60,MiMo-V2-Flash,2025-12-16,2.43e+24,6 * 15e9 active parameters * 27e12 tokens = 2.43e+24,,,309000000000.0,"""We present MiMo-V2-Flash, a Mixture-of-Experts (MoE) model with 309B total parameters and 15B active parameters""",Likely,,,Yes,MiMo-V2-Flash Technical Report,https://github.com/XiaomiMiMo/MiMo-V2-Flash/blob/main/paper.pdf,2025-12-16,2025.0,after_cutoff,False,2.43e+24,finite_scalar,,missing,309000000000.0,finite_scalar
61,Nemotron 3-Nano-30B-A3B,2025-12-15,4.8e+23,3.2e9 active parameters * 25e12 tokens * 6 = 4.8e23 FLOP,,,31600000000.0,"""Nano 30B-A3B Base contains 31.6B total parameters out of which 3.2B are activ""",Likely,,,Yes,NVIDIA Nemotron 3 Family of Models,https://research.nvidia.com/labs/nemotron/files/NVIDIA-Nemotron-3-Nano-Technical-Report.pdf,2025-12-15,2025.0,after_cutoff,False,4.8e+23,finite_scalar,,missing,31600000000.0,finite_scalar
62,GPT-5.2,2025-12-11,,,,,,,Unknown,,,No,,,2025-12-11,2025.0,after_cutoff,False,,missing,,missing,,missing
63,GPT-5.2 Pro,2025-12-11,,,,,,,Likely,,,No,,https://openai.com/index/introducing-gpt-5-2/,2025-12-11,2025.0,after_cutoff,False,,missing,,missing,,missing
64,Nomos 1,2025-12-11,,,,,30000000000.0,"MoE specialization of Qwen3-30B-A3B-Thinking-2507, reported ~3B active parameters. Designed to be used with the open-source Nomos reasoning harness.",Confident,,,Yes,Nomos 1,https://huggingface.co/NousResearch/nomos-1,2025-12-11,2025.0,after_cutoff,False,,missing,,missing,30000000000.0,finite_scalar
65,Devstral 2 (123B),2025-12-09,,,,,123000000000.0,,Likely,,,Yes,Introducing: Devstral 2 and Mistral Vibe CLI.,https://mistral.ai/news/devstral-2-vibe-cli,2025-12-09,2025.0,after_cutoff,False,,missing,,missing,123000000000.0,finite_scalar
66,Devstral 2 (24B),2025-12-09,,,,,24000000000.0,,Likely,,,Yes,Introducing: Devstral 2 and Mistral Vibe CLI.,https://mistral.ai/news/devstral-2-vibe-cli,2025-12-09,2025.0,after_cutoff,False,,missing,,missing,24000000000.0,finite_scalar
67,SIMA 2,2025-12-04,,,,,,,Likely,,,No,SIMA 2: A Generalist Embodied Agent for Virtual Worlds,https://arxiv.org/abs/2512.04797v1,2025-12-04,2025.0,after_cutoff,False,,missing,,missing,,missing
68,Nova 2,2025-12-02,,,,,,,Confident,,,No,Announcing Amazon Nova 2 foundation models now available in Amazon Bedrock,https://aws.amazon.com/about-aws/whats-new/2025/12/nova-2-foundation-models-amazon-bedrock/,2025-12-02,2025.0,after_cutoff,False,,missing,,missing,,missing
69,Nova 2 Pro (Preview),2025-12-02,,,,,,,Likely,,,Yes,Announcing Amazon Nova 2 foundation models now available in Amazon Bedrock,https://aws.amazon.com/about-aws/whats-new/2025/12/nova-2-foundation-models-amazon-bedrock/,2025-12-02,2025.0,after_cutoff,False,,missing,,missing,,missing
70,Mistral 3 Large,2025-12-02,,,,,675000000000.0,"""Mistral Large 3 – our most capable model to date – a sparse mixture-of-experts trained with 41B active and 675B total parameters.""",Likely,,,Yes,Introducing Mistral 3,https://mistral.ai/news/mistral-3,2025-12-02,2025.0,after_cutoff,False,,missing,,missing,675000000000.0,finite_scalar
71,Ministral 3 14B,2025-12-02,,,,,14000000000.0,,Likely,,,Yes,Introducing Mistral 3,https://mistral.ai/news/mistral-3,2025-12-02,2025.0,after_cutoff,False,,missing,,missing,14000000000.0,finite_scalar
72,Ministral 3 8B,2025-12-02,,,,,8000000000.0,,Likely,,,Yes,Introducing Mistral 3,https://mistral.ai/news/mistral-3,2025-12-02,2025.0,after_cutoff,False,,missing,,missing,8000000000.0,finite_scalar
73,Ministral 3 3B,2025-12-02,,,,,3000000000.0,,Likely,,,Yes,Introducing Mistral 3,https://mistral.ai/news/mistral-3,2025-12-02,2025.0,after_cutoff,False,,missing,,missing,3000000000.0,finite_scalar
74,DeepSeek-V3.2,2025-12-01,4.2e+24,"Pre-trained base was DeepSeek-V3.1-Terminus
3.594058e+24 FLOP [base model] + 2.095014e+23 FLOP = 3.8035594e+24 FLOP for pre-training plus continued pre-training

Then, ""this framework allocates a
post-training computational budget exceeding 10% of the pre-training cost"", so 4.18e24",,,,,Likely,,,Yes,,https://api-docs.deepseek.com/news/news251201,2025-12-01,2025.0,after_cutoff,False,4.2e+24,finite_scalar,,missing,,missing
75,Runway Gen-4.5,2025-12-01,,,,,,,Likely,,,No,"Introducing Runway Gen-4.5:
A new frontier for video generation.",https://runwayml.com/research/introducing-runway-gen-4.5,2025-12-01,2025.0,after_cutoff,False,,missing,,missing,,missing
76,DeepSeekMath-V2,2025-11-27,,,,,685000000000.0,HF lists 685B params. Built on top of DeepSeek-V3.2-Exp-Base,Confident,FP8,,Yes,DeepSeekMath-V2: Towards Self-Verifiable Mathematical Reasoning,https://arxiv.org/abs/2511.22570,2025-11-27,2025.0,after_cutoff,False,,missing,,missing,685000000000.0,finite_scalar
77,INTELLECT-3,2025-11-26,,"Total tokens from SFT = 220.3 billion tokens. 

6 * 12e9 (active parameters) * 220.3e9 = 15861600000000000000000",,,106000000000.0,"""We present INTELLECT-3, a 106B-parameter Mixture-of-Experts model (12B active)""",Likely,,,Yes,INTELLECT-3: Technical Report,https://storage.googleapis.com/intellect-3-paper/INTELLECT_3_Technical_Report.pdf,2025-11-26,2025.0,after_cutoff,False,,missing,,missing,106000000000.0,finite_scalar
78,FLUX.2,2025-11-25,,,,,32000000000.0,"""32B parameter flow matching transformer"" (https://github.com/black-forest-labs/flux2, README; https://bfl.ai/blog/flux-2)",Likely,,,Yes,FLUX.2: Frontier Visual Intelligence,"https://bfl.ai/blog/flux-2, https://github.com/black-forest-labs/flux2",2025-11-25,2025.0,after_cutoff,False,,missing,,missing,32000000000.0,finite_scalar
79,Claude Opus 4.5,2025-11-24,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,,,,,Unknown,,,No,Introducing Claude Opus 4.5,https://www.anthropic.com/news/claude-opus-4-5,2025-11-24,2025.0,after_cutoff,False,,missing,,missing,,missing
80,Olmo 3,2025-11-20,1.1e+24,6*3.2e10*5.5e12=1.1e24,5500000000000,Model card lists 5.50T training tokens for OLMo 3 32B (and 5.93T for 7B).,32000000000.0,32B with Base/Instruct/Think variants. Base here,Confident,,,Yes,Olmo 3,https://arxiv.org/abs/2512.13961,2025-11-20,2025.0,after_cutoff,False,1.1e+24,finite_scalar,5500000000000.0,finite_scalar,32000000000.0,finite_scalar
81,Gemini 3 Pro Image (Nano Banana Pro),2025-11-20,,,,,,,Likely,,,No,Introducing Nano Banana Pro,https://blog.google/innovation-and-ai/products/nano-banana-pro/,2025-11-20,2025.0,after_cutoff,False,,missing,,missing,,missing
82,SAM 3,2025-11-20,1.9981584e+23,"""The released SAM 3 was trained on 172k A100 GPU hours and 86k H200 GPU hours."" 

A100 contribution = 172000 hours * 3600 seconds/hour * 312,000,000,000,000 TF16 (assumed precision) FLOPS  * 0.4 (estimated utilization) = 77276160000000000000000 FLOP.

H200 contribution = 86000 hours * 3600 seconds/hour * 989,500,000,000,000 TF16 (assumed precision) FLOPS * 0.4 (estimated utilization) = 122539680000000000000000 FLOP

Total = 2.9981584e+23 FLOP",,,850000000.0,"""SAM 3 has ∼850M parameters, distributed as follows: ∼450M and ∼300M for the vision and text encoders (Bolya et al., 2025), and ∼100M for the detector and tracker components""",Likely,,,Yes,SAM 3: Segment Anything with Concepts,https://arxiv.org/abs/2511.16719,2025-11-20,2025.0,after_cutoff,False,1.9981584e+23,finite_scalar,,missing,850000000.0,finite_scalar
83,SAM 3,2025-11-20,,,,,848000000.0,"""The SAM 3 model has 848M parameters"" (https://www.marktechpost.com/2025/11/20/meta-ai-releases-segment-anything-model-3-sam-3-for-promptable-concept-segmentation-in-images-and-videos/). Uses Perception Encoder (PE) vision backbone shared between detector and tracker.",Likely,,,Yes,SAM 3: Segment Anything with Concepts,"https://arxiv.org/abs/2511.16719, https://github.com/facebookresearch/sam3",2025-11-20,2025.0,after_cutoff,False,,missing,,missing,848000000.0,finite_scalar
84,Olmo 3 32B Instruct,2025-11-20,,,,,32000000000.0,7B and 32B variants. Dense transformer architecture. (https://arxiv.org/abs/2512.13961),Likely,,,Yes,Olmo 3,"https://arxiv.org/abs/2512.13961, https://allenai.org/blog/olmo3, https://huggingface.co/allenai/Olmo-3-1125-32B",2025-11-20,2025.0,after_cutoff,False,,missing,,missing,32000000000.0,finite_scalar
85,Olmo 3 7B Think,2025-11-20,,,,,7000000000.0,7B and 32B variants. Dense transformer architecture. (https://arxiv.org/abs/2512.13961),Likely,,,Yes,Olmo 3,"https://arxiv.org/abs/2512.13961, https://allenai.org/blog/olmo3, https://huggingface.co/allenai/Olmo-3-1125-32B",2025-11-20,2025.0,after_cutoff,False,,missing,,missing,7000000000.0,finite_scalar
86,Olmo 3.1 32B Think,2025-11-20,,,,,32000000000.0,7B and 32B variants. Dense transformer architecture. (https://arxiv.org/abs/2512.13961),Likely,,,Yes,Olmo 3,"https://arxiv.org/abs/2512.13961, https://allenai.org/blog/olmo3, https://huggingface.co/allenai/Olmo-3-1125-32B",2025-11-20,2025.0,after_cutoff,False,,missing,,missing,32000000000.0,finite_scalar
87,Grok 4.1 Fast,2025-11-19,,,,,,,Unknown,,,No,Grok 4.1 Fast and Agent Tools API,https://x.ai/news/grok-4-1-fast,2025-11-19,2025.0,after_cutoff,False,,missing,,missing,,missing
