source_row_1based,Source,Year,Model,Average,Average_numeric,duplicate_group_rows,conflicting_duplicate_metrics,kept_for_summary
32,Open LLM Leaderboard,2024,01-ai/Yi-1.5-34B-Chat-16K,29.40,29.4,1,False,True
33,Open LLM Leaderboard,2024,01-ai/Yi-1.5-6B,16.75,16.75,1,False,True
34,Open LLM Leaderboard,2024,01-ai/Yi-1.5-6B-Chat,22.78,22.78,1,False,True
35,Open LLM Leaderboard,2024,01-ai/Yi-1.5-9B,22.15,22.15,1,False,True
36,Open LLM Leaderboard,2024,01-ai/Yi-1.5-9B-32K,19.81,19.81,1,False,True
37,Open LLM Leaderboard,2024,01-ai/Yi-1.5-9B-Chat,29.53,29.53,1,False,True
38,Open LLM Leaderboard,2024,01-ai/Yi-1.5-9B-Chat-16K,23.77,23.77,1,False,True
39,Open LLM Leaderboard,2024,01-ai/Yi-34B,22.37,22.37,1,False,True
40,Open LLM Leaderboard,2024,01-ai/Yi-34B-200K,20.01,20.01,1,False,True
41,Open LLM Leaderboard,2024,01-ai/Yi-34B-Chat,24.23,24.23,1,False,True
42,Open LLM Leaderboard,2024,01-ai/Yi-6B,13.61,13.61,1,False,True
43,Open LLM Leaderboard,2024,01-ai/Yi-6B-200K,12.00,12.0,1,False,True
44,Open LLM Leaderboard,2024,01-ai/Yi-6B-Chat,14.12,14.12,1,False,True
45,Open LLM Leaderboard,2024,01-ai/Yi-9B,17.81,17.81,1,False,True
46,Open LLM Leaderboard,2024,01-ai/Yi-9B-200K,17.73,17.73,1,False,True
47,Open LLM Leaderboard,2024,01-ai/Yi-Coder-9B-Chat,16.99,16.99,1,False,True
48,Open LLM Leaderboard,2025,1-800-LLMs/Qwen-2.5-14B-Hindi,36.27,36.27,1,False,True
49,Open LLM Leaderboard,2025,1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,31.02,31.02,1,False,True
50,Open LLM Leaderboard,2025,1024m/PHI-4-Hindi,27.49,27.49,1,False,True
51,Open LLM Leaderboard,2025,1024m/QWEN-14B-B100,41.92,41.92,1,False,True
52,Open LLM Leaderboard,2024,152334H/miqu-1-70b-sf,29.10,29.1,1,False,True
53,Open LLM Leaderboard,2024,1TuanPham/T-VisStar-7B-v0.1,19.14,19.14,1,False,True
54,Open LLM Leaderboard,2024,1TuanPham/T-VisStar-v0.1,19.14,19.14,1,False,True
55,Open LLM Leaderboard,2024,3rd-Degree-Burn/L-3.1-Science-Writer-8B,21.09,21.09,1,False,True
56,Open LLM Leaderboard,2024,3rd-Degree-Burn/Llama-3.1-8B-Squareroot,11.22,11.22,1,False,True
57,Open LLM Leaderboard,2024,3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,8.04,8.04,1,False,True
58,Open LLM Leaderboard,2024,3rd-Degree-Burn/Llama-Squared-8B,12.43,12.43,1,False,True
59,Open LLM Leaderboard,2024,4season/final_model_test_v2,23.09,23.09,1,False,True
60,Open LLM Leaderboard,2024,AALF/FuseChat-Llama-3.1-8B-Instruct-preview,28.57,28.57,1,False,True
61,Open LLM Leaderboard,2024,AALF/FuseChat-Llama-3.1-8B-SFT-preview,29.23,29.23,1,False,True
62,Open LLM Leaderboard,2024,AALF/gemma-2-27b-it-SimPO-37K,9.51,9.51,1,False,True
63,Open LLM Leaderboard,2024,AALF/gemma-2-27b-it-SimPO-37K-100steps,10.25,10.25,1,False,True
64,Open LLM Leaderboard,2024,AELLM/gemma-2-aeria-infinity-9b,31.92,31.92,1,False,True
65,Open LLM Leaderboard,2024,AELLM/gemma-2-lyco-infinity-9b,30.05,30.05,1,False,True
66,Open LLM Leaderboard,2025,AGI-0/Art-v0-3B,12.13,12.13,1,False,True
67,Open LLM Leaderboard,2024,AGI-0/Artificium-llama3.1-8B-001,19.49,19.49,1,False,True
68,Open LLM Leaderboard,2024,AGI-0/smartllama3.1-8B-001,20.42,20.42,1,False,True
69,Open LLM Leaderboard,2024,AI-MO/NuminaMath-7B-CoT,16.12,16.12,1,False,True
70,Open LLM Leaderboard,2024,AI-MO/NuminaMath-7B-TIR,14.18,14.18,1,False,True
71,Open LLM Leaderboard,2024,AI-Sweden-Models/Llama-3-8B-instruct,14.34,14.34,1,False,True
72,Open LLM Leaderboard,2024,AI-Sweden-Models/gpt-sw3-40b,4.87,4.87,1,False,True
73,Open LLM Leaderboard,2025,AI4free/Dhanishtha,11.25,11.25,1,False,True
74,Open LLM Leaderboard,2025,AI4free/t2,11.33,11.33,1,False,True
75,Open LLM Leaderboard,2025,AIDC-AI/Marco-o1,27.64,27.64,1,False,True
76,Open LLM Leaderboard,2024,Aashraf995/Creative-7B-nerd,29.98,29.98,1,False,True
77,Open LLM Leaderboard,2024,Aashraf995/Gemma-Evo-10B,34.33,34.33,1,False,True
78,Open LLM Leaderboard,2024,Aashraf995/Qwen-Evo-7B,30.28,30.28,1,False,True
79,Open LLM Leaderboard,2024,Aashraf995/QwenStock-14B,37.13,37.13,1,False,True
80,Open LLM Leaderboard,2024,AbacusResearch/Jallabi-34B,26.19,26.19,1,False,True
81,Open LLM Leaderboard,2025,Ahdoot/StructuredThinker-v0.3-MoreStructure,23.92,23.92,1,False,True
82,Open LLM Leaderboard,2025,Ahdoot/Test_StealthThinker,22.07,22.07,1,False,True
83,Open LLM Leaderboard,2025,AicoresSecurity/Cybernet-Sec-3B-R1-V0,20.58,20.58,1,False,True
84,Open LLM Leaderboard,2025,AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,22.93,22.93,1,False,True
85,Open LLM Leaderboard,2025,AicoresSecurity/Cybernet-Sec-3B-R1-V1,20.00,20.0,1,False,True
86,Open LLM Leaderboard,2025,AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,22.64,22.64,1,False,True
87,Open LLM Leaderboard,2025,Alepach/notHumpback-M0,5.14,5.14,1,False,True
88,Open LLM Leaderboard,2025,Alepach/notHumpback-M1,4.78,4.78,1,False,True
89,Open LLM Leaderboard,2025,Alepach/notHumpback-M1-v2,5.21,5.21,1,False,True
90,Open LLM Leaderboard,2024,Alibaba-NLP/gte-Qwen2-7B-instruct,13.83,13.83,1,False,True
91,Open LLM Leaderboard,2024,Alsebay/Qwen2.5-7B-test-novelist,27.17,27.17,1,False,True
92,Open LLM Leaderboard,2025,Amaorynho/BBAI2006,3.46,3.46,1,False,True
93,Open LLM Leaderboard,2025,Amaorynho/BBAI270V4,4.55,4.55,1,False,True
94,Open LLM Leaderboard,2025,Amaorynho/BBAIIFEV1,30.58,30.58,1,False,True
95,Open LLM Leaderboard,2025,Amaorynho/BBAI_375,3.46,3.46,1,False,True
96,Open LLM Leaderboard,2025,Amu/t1-1.5B,12.14,12.14,1,False,True
97,Open LLM Leaderboard,2025,Amu/t1-3B,11.16,11.16,1,False,True
98,Open LLM Leaderboard,2024,ArliAI/ArliAI-RPMax-12B-v1.1,20.98,20.98,1,False,True
99,Open LLM Leaderboard,2024,ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,23.94,23.94,1,False,True
100,Open LLM Leaderboard,2025,Arthur-LAGACHERIE/Precis-1B-Instruct,8.85,8.85,1,False,True
101,Open LLM Leaderboard,2024,Artples/L-MChat-7b,21.24,21.24,1,False,True
102,Open LLM Leaderboard,2024,Artples/L-MChat-Small,15.23,15.23,1,False,True
103,Open LLM Leaderboard,2025,Aryanne/QwentileSwap,43.92,43.92,1,False,True
104,Open LLM Leaderboard,2025,Aryanne/SHBA,29.88,29.88,1,False,True
105,Open LLM Leaderboard,2024,Aryanne/SuperHeart,25.56,25.56,1,False,True
106,Open LLM Leaderboard,2024,AtAndDev/Qwen2.5-1.5B-continuous-learnt,16.52,16.52,2,True,False
107,Open LLM Leaderboard,2024,AtAndDev/Qwen2.5-1.5B-continuous-learnt,17.48,17.48,2,True,False
108,Open LLM Leaderboard,2025,Ateron/Glowing-Forest-12B,22.61,22.61,1,False,True
109,Open LLM Leaderboard,2025,Ateron/Lotus-Magpic,25.50,25.5,1,False,True
110,Open LLM Leaderboard,2025,Ateron/Way_of_MagPicaro,20.63,20.63,1,False,True
111,Open LLM Leaderboard,2024,AuraIndustries/Aura-4B,16.06,16.06,1,False,True
112,Open LLM Leaderboard,2024,AuraIndustries/Aura-8B,27.36,27.36,1,False,True
113,Open LLM Leaderboard,2024,AuraIndustries/Aura-MoE-2x4B,16.80,16.8,1,False,True
114,Open LLM Leaderboard,2024,AuraIndustries/Aura-MoE-2x4B-v2,17.52,17.52,1,False,True
115,Open LLM Leaderboard,2024,Aurel9/testmerge-7b,20.97,20.97,1,False,True
116,Open LLM Leaderboard,2025,Ayush-Singh/Llama1B-sft-2,3.17,3.17,1,False,True
117,Open LLM Leaderboard,2025,Azure99/Blossom-V6-14B,32.81,32.81,1,False,True
118,Open LLM Leaderboard,2025,Azure99/Blossom-V6-7B,31.05,31.05,1,False,True
119,Open LLM Leaderboard,2024,Azure99/blossom-v5-32b,27.72,27.72,1,False,True
120,Open LLM Leaderboard,2024,Azure99/blossom-v5-llama3-8b,14.60,14.6,1,False,True
121,Open LLM Leaderboard,2024,Azure99/blossom-v5.1-34b,30.30,30.3,1,False,True
122,Open LLM Leaderboard,2024,Azure99/blossom-v5.1-9b,26.47,26.47,1,False,True
123,Open LLM Leaderboard,2024,BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,22.61,22.61,1,False,True
124,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-3M-0613-Llama3-70B,35.58,35.58,1,False,True
125,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-3M-0613-Mistral-7B,22.29,22.29,1,False,True
126,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-3M-0625-Llama3-70B,36.91,36.91,1,False,True
127,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-3M-0625-Llama3-8B,22.06,22.06,1,False,True
128,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-3M-0625-Mistral-7B,22.84,22.84,1,False,True
129,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,26.20,26.2,1,False,True
130,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-3M-0625-Yi-1.5-9B,28.14,28.14,1,False,True
131,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,23.45,23.45,1,False,True
132,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-7M-0729-mistral-7B,23.22,23.22,1,False,True
133,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,37.48,37.48,1,False,True
134,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,23.45,23.45,1,False,True
135,Open LLM Leaderboard,2024,BAAI/Infinity-Instruct-7M-Gen-mistral-7B,23.19,23.19,1,False,True
136,Open LLM Leaderboard,2024,BAAI/OPI-Llama-3.1-8B-Instruct,8.53,8.53,1,False,True
137,Open LLM Leaderboard,2024,BEE-spoke-data/Meta-Llama-3-8Bee,14.66,14.66,1,False,True
138,Open LLM Leaderboard,2024,BEE-spoke-data/smol_llama-101M-GQA,4.02,4.02,1,False,True
139,Open LLM Leaderboard,2024,BEE-spoke-data/smol_llama-220M-GQA,6.58,6.58,1,False,True
140,Open LLM Leaderboard,2024,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,6.63,6.63,1,False,True
141,Open LLM Leaderboard,2024,BEE-spoke-data/smol_llama-220M-openhermes,4.94,4.94,1,False,True
142,Open LLM Leaderboard,2024,BEE-spoke-data/tFINE-900m-e16-d32-flan,4.60,4.6,1,False,True
143,Open LLM Leaderboard,2024,BEE-spoke-data/tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,6.00,6.0,1,False,True
144,Open LLM Leaderboard,2024,BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,5.91,5.91,1,False,True
145,Open LLM Leaderboard,2024,BEE-spoke-data/tFINE-900m-instruct-orpo,3.70,3.7,1,False,True
146,Open LLM Leaderboard,2024,BSC-LT/salamandra-7b,5.70,5.7,1,False,True
147,Open LLM Leaderboard,2024,BSC-LT/salamandra-7b-instruct,10.18,10.18,1,False,True
148,Open LLM Leaderboard,2024,Ba2han/Llama-Phi-3_DoRA,25.47,25.47,1,False,True
149,Open LLM Leaderboard,2025,Baptiste-HUVELLE-10/LeTriomphant2.2_ECE_iLAB,41.30,41.3,1,False,True
150,Open LLM Leaderboard,2024,BenevolenceMessiah/Qwen2.5-72B-2x-Instruct-TIES-v1.0,42.27,42.27,1,False,True
151,Open LLM Leaderboard,2024,BenevolenceMessiah/Yi-Coder-9B-Chat-Instruct-TIES-MoE-v1.0,15.07,15.07,1,False,True
152,Open LLM Leaderboard,2024,BlackBeenie/Bloslain-8B-v0.2,23.80,23.8,1,False,True
153,Open LLM Leaderboard,2024,BlackBeenie/Llama-3.1-8B-OpenO1-SFT-v0.1,21.40,21.4,1,False,True
154,Open LLM Leaderboard,2024,BlackBeenie/Llama-3.1-8B-pythonic-passthrough-merge,7.40,7.4,1,False,True
155,Open LLM Leaderboard,2024,BlackBeenie/Neos-Gemma-2-9b,25.48,25.48,1,False,True
156,Open LLM Leaderboard,2024,BlackBeenie/Neos-Llama-3.1-8B,19.51,19.51,1,False,True
157,Open LLM Leaderboard,2024,BlackBeenie/Neos-Llama-3.1-base,3.97,3.97,1,False,True
158,Open LLM Leaderboard,2024,BlackBeenie/Neos-Phi-3-14B-v0.1,27.03,27.03,1,False,True
159,Open LLM Leaderboard,2024,BlackBeenie/llama-3-luminous-merged,21.62,21.62,1,False,True
160,Open LLM Leaderboard,2024,BlackBeenie/llama-3.1-8B-Galore-openassistant-guanaco,18.37,18.37,1,False,True
161,Open LLM Leaderboard,2024,Bllossom/llama-3.2-Korean-Bllossom-AICA-5B,19.01,19.01,1,False,True
162,Open LLM Leaderboard,2024,BoltMonkey/DreadMix,28.76,28.76,1,False,True
163,Open LLM Leaderboard,2024,BoltMonkey/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,27.78,27.78,2,True,False
164,Open LLM Leaderboard,2024,BoltMonkey/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,21.35,21.35,2,True,False
165,Open LLM Leaderboard,2024,BoltMonkey/SuperNeuralDreadDevil-8b,27.11,27.11,1,False,True
166,Open LLM Leaderboard,2024,BrainWave-ML/llama3.2-3B-maths-orpo,5.08,5.08,1,False,True
167,Open LLM Leaderboard,2024,BramVanroy/GEITje-7B-ultra,11.02,11.02,1,False,True
168,Open LLM Leaderboard,2024,BramVanroy/fietje-2,9.14,9.14,1,False,True
169,Open LLM Leaderboard,2024,BramVanroy/fietje-2-chat,10.62,10.62,1,False,True
170,Open LLM Leaderboard,2024,BramVanroy/fietje-2-instruct,10.49,10.49,1,False,True
171,Open LLM Leaderboard,2025,CYFRAGOVPL/Llama-PLLuM-8B-base,14.52,14.52,1,False,True
172,Open LLM Leaderboard,2025,CYFRAGOVPL/Llama-PLLuM-8B-chat,14.61,14.61,1,False,True
173,Open LLM Leaderboard,2025,CYFRAGOVPL/PLLuM-12B-base,14.67,14.67,1,False,True
174,Open LLM Leaderboard,2025,CYFRAGOVPL/PLLuM-12B-chat,15.35,15.35,1,False,True
175,Open LLM Leaderboard,2025,CYFRAGOVPL/PLLuM-12B-nc-base,11.42,11.42,1,False,True
176,Open LLM Leaderboard,2025,CYFRAGOVPL/PLLuM-12B-nc-chat,14.60,14.6,1,False,True
177,Open LLM Leaderboard,2024,CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct,23.51,23.51,1,False,True
178,Open LLM Leaderboard,2024,CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct-2412,20.30,20.3,1,False,True
179,Open LLM Leaderboard,2024,Casual-Autopsy/L3-Umbral-Mind-RP-v2.0-8B,25.90,25.9,1,False,True
180,Open LLM Leaderboard,2024,CausalLM/14B,17.24,17.24,1,False,True
181,Open LLM Leaderboard,2024,CausalLM/34b-beta,23.30,23.3,1,False,True
182,Open LLM Leaderboard,2025,CausalLM/preview-1-hf,16.71,16.71,1,False,True
183,Open LLM Leaderboard,2024,Changgil/K2S3-14b-v0.2,15.28,15.28,1,False,True
184,Open LLM Leaderboard,2024,Changgil/K2S3-v0.1,14.84,14.84,1,False,True
185,Open LLM Leaderboard,2024,ClaudioItaly/Albacus,20.51,20.51,1,False,True
186,Open LLM Leaderboard,2024,ClaudioItaly/Book-Gut12B,23.39,23.39,1,False,True
187,Open LLM Leaderboard,2024,ClaudioItaly/Evolutionstory-7B-v2.2,20.81,20.81,1,False,True
188,Open LLM Leaderboard,2024,ClaudioItaly/intelligence-cod-rag-7b-v3,31.84,31.84,1,False,True
189,Open LLM Leaderboard,2024,CohereForAI/aya-23-35B,24.76,24.76,1,False,True
190,Open LLM Leaderboard,2024,CohereForAI/aya-23-8B,16.01,16.01,1,False,True
191,Open LLM Leaderboard,2024,CohereForAI/aya-expanse-32b,29.72,29.72,1,False,True
192,Open LLM Leaderboard,2024,CohereForAI/aya-expanse-8b,22.41,22.41,1,False,True
193,Open LLM Leaderboard,2024,CohereForAI/c4ai-command-r-plus,30.94,30.94,1,False,True
194,Open LLM Leaderboard,2024,CohereForAI/c4ai-command-r-plus-08-2024,33.65,33.65,1,False,True
195,Open LLM Leaderboard,2024,CohereForAI/c4ai-command-r-v01,25.93,25.93,1,False,True
196,Open LLM Leaderboard,2024,CohereForAI/c4ai-command-r7b-12-2024,31.62,31.62,1,False,True
197,Open LLM Leaderboard,2024,Columbia-NLP/LION-Gemma-2b-dpo-v1.0,11.48,11.48,2,True,False
198,Open LLM Leaderboard,2024,Columbia-NLP/LION-Gemma-2b-dpo-v1.0,11.26,11.26,2,True,False
199,Open LLM Leaderboard,2024,Columbia-NLP/LION-Gemma-2b-odpo-v1.0,11.90,11.9,1,False,True
200,Open LLM Leaderboard,2024,Columbia-NLP/LION-Gemma-2b-sft-v1.0,12.60,12.6,1,False,True
201,Open LLM Leaderboard,2024,Columbia-NLP/LION-LLaMA-3-8b-dpo-v1.0,21.79,21.79,1,False,True
202,Open LLM Leaderboard,2024,Columbia-NLP/LION-LLaMA-3-8b-odpo-v1.0,19.85,19.85,1,False,True
203,Open LLM Leaderboard,2024,Columbia-NLP/LION-LLaMA-3-8b-sft-v1.0,20.75,20.75,1,False,True
204,Open LLM Leaderboard,2024,CombinHorizon/Josiefied-abliteratedV4-Qwen2.5-14B-Inst-BaseMerge-TIES,41.77,41.77,1,False,True
205,Open LLM Leaderboard,2024,CombinHorizon/Rombos-Qwen2.5-7B-Inst-BaseMerge-TIES,35.37,35.37,1,False,True
206,Open LLM Leaderboard,2024,CombinHorizon/YiSM-blossom5.1-34B-SLERP,31.38,31.38,1,False,True
207,Open LLM Leaderboard,2024,CombinHorizon/huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMerge-TIES,45.66,45.66,1,False,True
208,Open LLM Leaderboard,2024,CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,41.47,41.47,1,False,True
209,Open LLM Leaderboard,2024,CombinHorizon/zetasepic-abliteratedV2-Qwen2.5-32B-Inst-BaseMerge-TIES,46.76,46.76,1,False,True
210,Open LLM Leaderboard,2025,ContactDoctor/Bio-Medical-3B-CoT-012025,18.73,18.73,1,False,True
211,Open LLM Leaderboard,2024,ContactDoctor/Bio-Medical-Llama-3-8B,19.92,19.92,1,False,True
212,Open LLM Leaderboard,2024,CoolSpring/Qwen2-0.5B-Abyme,5.00,5.0,1,False,True
213,Open LLM Leaderboard,2024,CoolSpring/Qwen2-0.5B-Abyme-merge2,6.32,6.32,1,False,True
214,Open LLM Leaderboard,2024,CoolSpring/Qwen2-0.5B-Abyme-merge3,6.82,6.82,1,False,True
215,Open LLM Leaderboard,2024,Corianas/Neural-Mistral-7B,18.20,18.2,1,False,True
216,Open LLM Leaderboard,2024,Corianas/Quokka_2.7b,5.00,5.0,1,False,True
217,Open LLM Leaderboard,2024,CortexLM/btlm-7b-base-v0.2,8.92,8.92,1,False,True
218,Open LLM Leaderboard,2025,Cran-May/SCE-2-24B,31.95,31.95,1,False,True
219,Open LLM Leaderboard,2025,Cran-May/SCE-3-24B,30.62,30.62,1,False,True
220,Open LLM Leaderboard,2024,Cran-May/T.E-8.1,35.70,35.7,1,False,True
221,Open LLM Leaderboard,2025,Cran-May/merge_model_20250308_2,40.26,40.26,1,False,True
222,Open LLM Leaderboard,2025,Cran-May/merge_model_20250308_3,33.23,33.23,1,False,True
223,Open LLM Leaderboard,2025,Cran-May/merge_model_20250308_4,37.57,37.57,1,False,True
224,Open LLM Leaderboard,2025,Cran-May/tempmotacilla-cinerea-0308,43.64,43.64,1,False,True
225,Open LLM Leaderboard,2025,CreitinGameplays/Llama-3.1-8B-R1-v0.1,10.03,10.03,1,False,True
226,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Broca,37.92,37.92,1,False,True
227,Open LLM Leaderboard,2025,CultriX/Qwen2.5-14B-BrocaV9,39.26,39.26,1,False,True
228,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Brocav3,39.85,39.85,1,False,True
229,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Brocav6,39.84,39.84,1,False,True
230,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Brocav7,39.62,39.62,1,False,True
231,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Emerged,37.95,37.95,1,False,True
232,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Emergedv3,38.66,38.66,1,False,True
233,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-FinalMerge,32.24,32.24,1,False,True
234,Open LLM Leaderboard,2025,CultriX/Qwen2.5-14B-Hyper,37.76,37.76,1,False,True
235,Open LLM Leaderboard,2025,CultriX/Qwen2.5-14B-HyperMarck-dl,39.89,39.89,1,False,True
236,Open LLM Leaderboard,2025,CultriX/Qwen2.5-14B-Hyperionv3,39.76,39.76,1,False,True
237,Open LLM Leaderboard,2025,CultriX/Qwen2.5-14B-Hyperionv4,37.67,37.67,1,False,True
238,Open LLM Leaderboard,2025,CultriX/Qwen2.5-14B-Hyperionv5,39.72,39.72,1,False,True
239,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-MegaMerge-pt2,38.80,38.8,1,False,True
240,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-MergeStock,38.74,38.74,1,False,True
241,Open LLM Leaderboard,2025,CultriX/Qwen2.5-14B-ReasoningMerge,40.65,40.65,1,False,True
242,Open LLM Leaderboard,2025,CultriX/Qwen2.5-14B-Ultimav2,38.84,38.84,1,False,True
243,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Unity,38.30,38.3,1,False,True
244,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Wernicke,37.94,37.94,1,False,True
245,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Wernicke-SFT,33.55,33.55,1,False,True
246,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Wernicke-SLERP,36.54,36.54,1,False,True
247,Open LLM Leaderboard,2024,CultriX/Qwen2.5-14B-Wernickev3,38.38,38.38,1,False,True
248,Open LLM Leaderboard,2025,CultriX/Qwen2.5-14B-partialmergept1,39.11,39.11,1,False,True
249,Open LLM Leaderboard,2024,CultriX/Qwenfinity-2.5-14B,32.32,32.32,1,False,True
250,Open LLM Leaderboard,2024,CultriX/Qwestion-14B,38.55,38.55,1,False,True
251,Open LLM Leaderboard,2024,CultriX/SeQwence-14B,36.89,36.89,1,False,True
252,Open LLM Leaderboard,2024,CultriX/SeQwence-14B-EvolMerge,38.02,38.02,1,False,True
253,Open LLM Leaderboard,2024,CultriX/SeQwence-14B-EvolMergev1,38.46,38.46,1,False,True
254,Open LLM Leaderboard,2024,CultriX/SeQwence-14B-v5,37.61,37.61,1,False,True
255,Open LLM Leaderboard,2024,CultriX/SeQwence-14Bv1,38.63,38.63,1,False,True
256,Open LLM Leaderboard,2024,CultriX/SeQwence-14Bv2,38.74,38.74,1,False,True
257,Open LLM Leaderboard,2024,CultriX/SeQwence-14Bv3,38.67,38.67,1,False,True
258,Open LLM Leaderboard,2024,DRXD1000/Atlas-7B,8.79,8.79,1,False,True
259,Open LLM Leaderboard,2024,DRXD1000/Phoenix-7B,12.42,12.42,1,False,True
260,Open LLM Leaderboard,2024,DUAL-GPO/zephyr-7b-ipo-0k-15k-i1,15.49,15.49,1,False,True
261,Open LLM Leaderboard,2024,DZgas/GIGABATEMAN-7B,20.47,20.47,1,False,True
262,Open LLM Leaderboard,2024,Daemontatox/AetherDrake-SFT,22.92,22.92,1,False,True
263,Open LLM Leaderboard,2024,Daemontatox/AetherSett,31.42,31.42,1,False,True
264,Open LLM Leaderboard,2024,Daemontatox/AetherTOT,23.18,23.18,2,True,False
265,Open LLM Leaderboard,2024,Daemontatox/AetherTOT,22.87,22.87,2,True,False
266,Open LLM Leaderboard,2025,Daemontatox/AetherUncensored,18.37,18.37,1,False,True
267,Open LLM Leaderboard,2025,Daemontatox/Cogito-MIS,11.08,11.08,1,False,True
268,Open LLM Leaderboard,2025,Daemontatox/CogitoDistil,17.18,17.18,1,False,True
269,Open LLM Leaderboard,2025,Daemontatox/CogitoZ,39.38,39.38,1,False,True
