order,indicator,meaning,scalar_field,norm_field,missing_flag,invalid_flag,unit_suspect_flag,outlier_flag,raw_type,scalar_rule,direction,transform,normalization,valid_domain,q1_1_use
11,ad_en,英文无广告概率,scalar_ad_en,norm_ad_en,missing_ad_en,invalid_ad_en,unit_suspect_ad_en,outlier_ad_en,prob_index_1,"stable softmax, take class index 1",positive,identity,A1 clipped ECDF 0.5%-99.5%,finite,finite norm_* values only; preserve all flags; never refit A2/A3
12,rps_doc_word_count,文档词数,scalar_rps_doc_word_count,norm_rps_doc_word_count,missing_rps_doc_word_count,invalid_rps_doc_word_count,unit_suspect_rps_doc_word_count,outlier_rps_doc_word_count,single,finite scalar,central,log1p,A1 robust centrality exp(-abs(x-median)/scale),finite and >=0,finite norm_* values only; preserve all flags; never refit A2/A3
13,rps_doc_num_sentences,文档句数,scalar_rps_doc_num_sentences,norm_rps_doc_num_sentences,missing_rps_doc_num_sentences,invalid_rps_doc_num_sentences,unit_suspect_rps_doc_num_sentences,outlier_rps_doc_num_sentences,single,finite scalar,central,log1p,A1 robust centrality exp(-abs(x-median)/scale),finite and >=0,finite norm_* values only; preserve all flags; never refit A2/A3
14,rps_doc_unigram_entropy,词一元熵,scalar_rps_doc_unigram_entropy,norm_rps_doc_unigram_entropy,missing_rps_doc_unigram_entropy,invalid_rps_doc_unigram_entropy,unit_suspect_rps_doc_unigram_entropy,outlier_rps_doc_unigram_entropy,single,finite scalar,positive,identity,A1 clipped ECDF 0.5%-99.5%,finite and >=0,finite norm_* values only; preserve all flags; never refit A2/A3
15,rps_doc_frac_unique_words,唯一词比例/分数,scalar_rps_doc_frac_unique_words,norm_rps_doc_frac_unique_words,missing_rps_doc_frac_unique_words,invalid_rps_doc_frac_unique_words,unit_suspect_rps_doc_frac_unique_words,outlier_rps_doc_frac_unique_words,single,finite scalar,positive,identity,A1 clipped ECDF 0.5%-99.5%,finite and >=0,finite norm_* values only; preserve all flags; never refit A2/A3
16,rps_doc_frac_no_alph_words,非字母词比例/分数,scalar_rps_doc_frac_no_alph_words,norm_rps_doc_frac_no_alph_words,missing_rps_doc_frac_no_alph_words,invalid_rps_doc_frac_no_alph_words,unit_suspect_rps_doc_frac_no_alph_words,outlier_rps_doc_frac_no_alph_words,single,finite scalar,negative,identity,A1 clipped ECDF 0.5%-99.5%,finite and >=0,finite norm_* values only; preserve all flags; never refit A2/A3
17,rps_doc_frac_chars_top_2gram,高频二元字符比例/分数,scalar_rps_doc_frac_chars_top_2gram,norm_rps_doc_frac_chars_top_2gram,missing_rps_doc_frac_chars_top_2gram,invalid_rps_doc_frac_chars_top_2gram,unit_suspect_rps_doc_frac_chars_top_2gram,outlier_rps_doc_frac_chars_top_2gram,single,finite scalar,negative,identity,A1 clipped ECDF 0.5%-99.5%,finite and >=0,finite norm_* values only; preserve all flags; never refit A2/A3
18,rps_doc_frac_chars_top_3gram,高频三元字符比例/分数,scalar_rps_doc_frac_chars_top_3gram,norm_rps_doc_frac_chars_top_3gram,missing_rps_doc_frac_chars_top_3gram,invalid_rps_doc_frac_chars_top_3gram,unit_suspect_rps_doc_frac_chars_top_3gram,outlier_rps_doc_frac_chars_top_3gram,single,finite scalar,negative,identity,A1 clipped ECDF 0.5%-99.5%,finite and >=0,finite norm_* values only; preserve all flags; never refit A2/A3
19,rps_lines_uppercase_letter_fraction,大写字母比例/分数,scalar_rps_lines_uppercase_letter_fraction,norm_rps_lines_uppercase_letter_fraction,missing_rps_lines_uppercase_letter_fraction,invalid_rps_lines_uppercase_letter_fraction,unit_suspect_rps_lines_uppercase_letter_fraction,outlier_rps_lines_uppercase_letter_fraction,single,finite scalar,negative,identity,A1 clipped ECDF 0.5%-99.5%,finite and >=0,finite norm_* values only; preserve all flags; never refit A2/A3
20,rps_lines_ending_with_terminal_punctution_mark,句末终止标点比例,scalar_rps_lines_ending_with_terminal_punctution_mark,norm_rps_lines_ending_with_terminal_punctution_mark,missing_rps_lines_ending_with_terminal_punctution_mark,invalid_rps_lines_ending_with_terminal_punctution_mark,unit_suspect_rps_lines_ending_with_terminal_punctution_mark,outlier_rps_lines_ending_with_terminal_punctution_mark,single,finite scalar,positive,identity,A1 clipped ECDF 0.5%-99.5%,finite and >=0,finite norm_* values only; preserve all flags; never refit A2/A3
21,rps_lines_numerical_chars_fraction,数字字符比例/分数,scalar_rps_lines_numerical_chars_fraction,norm_rps_lines_numerical_chars_fraction,missing_rps_lines_numerical_chars_fraction,invalid_rps_lines_numerical_chars_fraction,unit_suspect_rps_lines_numerical_chars_fraction,outlier_rps_lines_numerical_chars_fraction,single,finite scalar,central,identity,A1 robust centrality exp(-abs(x-median)/scale),finite and >=0,finite norm_* values only; preserve all flags; never refit A2/A3
22,rps_doc_mean_word_length,平均词长,scalar_rps_doc_mean_word_length,norm_rps_doc_mean_word_length,missing_rps_doc_mean_word_length,invalid_rps_doc_mean_word_length,unit_suspect_rps_doc_mean_word_length,outlier_rps_doc_mean_word_length,single,finite scalar,central,identity,A1 robust centrality exp(-abs(x-median)/scale),finite and >=0,finite norm_* values only; preserve all flags; never refit A2/A3
